#"Status","Id","Parent","LatinName","UsEnglish","Translation","Synonyms"
"T","100014","0","Termini generales","General terms","General terms",""
"T","100023","100014","Verticalis","Vertical","Vertical",""
"T","100038","100014","Horizontalis","Horizontal","Horizontal",""
"T","100046","100014","Medianus","Median","Median",""
"T","100051","100014","Coronalis","Coronal","Coronal",""
"T","100067","100014","Sagittalis","Sagittal","Sagittal",""
"T","100072","100014","Dexter","Right","Right",""
"T","100080","100014","Sinister","Left","Left",""
"T","100095","100014","Intermedius","Intermediate","Intermediate",""
"T","100102","100014","Medialis","Medial","Medial",""
"T","100115","100014","Lateralis","Lateral","Lateral",""
"T","100128","100014","Anterior","Anterior","Anterior",""
"T","100131","100014","Posterior","Posterior","Posterior",""
"T","100144","100014","Ventralis","Ventral","Ventral",""
"T","100153","100014","Dorsalis","Dorsal","Dorsal",""
"T","100166","100014","Frontalis","Frontal","Frontal",""
"T","100177","100014","Occipitalis","Occipital","Occipital",""
"T","100189","100014","Superior","Superior","Superior",""
"T","100190","100014","Inferior","Inferior","Inferior",""
"T","100206","100014","Cranialis","Cranial","Cranial",""
"T","100211","100014","Caudalis","Caudal","Caudal",""
"T","100222","100014","Rostralis","Rostral","Rostral",""
"T","100233","100014","Apicalis","Apical","Apical",""
"T","100240","100014","Basalis","Basal","Basal",""
"T","100254","100014","Medius","Middle","Middle",""
"T","100265","100014","Transversus","Transverse","Transverse",""
"T","100279","100014","Longitudinalis","Longitudinal","Longitudinal",""
"T","100287","100014","Axialis","Axial","Axial",""
"T","100298","100014","Externus","External","External",""
"T","100303","100014","Internus","Internal","Internal",""
"T","100316","100014","Luminalis","Luminal","Luminal",""
"T","100327","100014","Superficialis","Superficial","Superficial",""
"T","100334","100014","Profundus","Deep","Deep",""
"T","100342","100014","Proximalis","Proximal","Proximal",""
"T","100350","100014","Distalis","Distal","Distal",""
"T","100369","100014","Centralis","Central","Central",""
"T","100375","100014","Periphericus","Peripheral","Peripheral",""
"T","100388","100014","Radialis","Radial","Radial",""
"T","100391","100014","Ulnaris","Ulnar","Ulnar",""
"T","100401","100014","Fibularis","Fibular","Fibular","Peroneal"
"T","100417","100014","Tibialis","Tibial","Tibial",""
"T","100425","100014","Palmaris","Palmar","Palmar",""
"T","100430","100014","Plantaris","Plantar","Plantar",""
"T","100449","100014","Flexorius","Flexor","Flexor",""
"T","100458","100014","Extensorius","Extensor","Extensor",""
"T","100463","0","Plana referentiae","Reference planes","Reference planes",""
"T","100474","100463","Plana longitudinalia","Longitudinal planes","Longitudinal planes","Vertical planes"
"T","100482","100474","Plana coronalia","Coronal planes","Coronal planes","Frontal planes"
"T","100496","100474","Plana sagittalia","Sagittal planes","Sagittal planes",""
"T","100505","100496","Planum medianum","Median plane","Median plane","Median sagittal plane"
"T","100518","100496","Planum paramedianum","Paramedian plane","Paramedian plane","Paramedian sagittal plane"
"T","100526","100463","Plana transversa","Transverse planes","Transverse planes","Horizontal planes"
"T","100539","100526","Planum transpyloricum","Transpyloric plane","Transpyloric plane",""
"T","100547","100526","Planum subcostale","Subcostal plane","Subcostal plane",""
"T","100552","100526","Planum transumbilicalis","Transumbilical plane","Transumbilical plane",""
"T","100560","100526","Planum supracristale","Supracristal plane","Supracristal plane",""
"T","100571","100526","Planum intertuberculare","Intertubercular plane","Intertubercular plane",""
"T","100583","100526","Planum interspinale","Interspinous plane","Interspinous plane",""
"T","100594","0","Lineae referentiae","Reference lines","Reference lines",""
"T","100604","100594","Linea mediana anterior","Anterior median line","Anterior median line",""
"T","100612","100594","Linea sternalis","Sternal line","Sternal line",""
"T","100620","100594","Linea parasternalis","Parasternal line","Parasternal line",""
"T","100636","100594","Linea medioclavicularis","Midclavicular line","Midclavicular line",""
"T","100648","100594","Linea mamillaris","Mammillary line","Mamillary line","Nipple line"
"T","100657","100594","Linea axillaris anterior","Anterior axillary line","Anterior axillary line",""
"T","100661","100594","Linea axillaris media","Midaxillary line","Midaxillary line",""
"T","100673","100594","Linea axillaris posterior","Posterior axillary line","Posterior axillary line",""
"T","100685","100594","Linea scapularis","Scapular line","Scapular line",""
"T","100699","100594","Linea paravertebralis","Paravertebral line","Paravertebral line",""
"T","100700","100594","Linea mediana posterior","Posterior median line","Posterior median line",""
"T","100713","0","Positiones corporis humani","Human body positions","Human body positions",""
"T","100721","100713","Positio anatomica","Anatomical position","Anatomical position","Human anatomical position"
"T","100737","100713","Positio anatomica comparativa","Comparative anatomical position","Comparative anatomical position",""
"T","100745","100713","Positio prona","Prone position","Prone position",""
"T","100759","100713","Positio supina","Supine position","Supine position",""
"T","100768","0","Motus","Movements","Movements",""
"T","100776","100768","Abductio","Abduction","Abduction",""
"T","100784","100768","Adductio","Adduction","Adduction",""
"T","100792","100768","Rotatio lateralis","Lateral rotation","Lateral rotation","External rotation"
"T","100807","100768","Rotatio medialis","Medial rotation","Medial rotation","Internal rotation"
"T","100810","100768","Circumductio","Circumduction","Circumduction",""
"T","100829","100768","Flexio","Flexion","Flexion",""
"T","100832","100768","Extensio","Extension","Extension",""
"T","100841","100768","Pronatio","Pronation","Pronation",""
"T","100855","100768","Supinatio","Supination","Supination",""
"T","100864","100768","Oppositio","Opposition","Opposition",""
"T","100878","100768","Repositio","Reposition","Reposition",""
"T","100886","100768","Plantiflexio","Plantar flexion","Plantar flexion","Plantiflexion"
"T","100893","100768","Dorsiflexio","Dorsiflexion","Dorsiflexion",""
"T","100908","100768","Elevatio","Elevation","Elevation",""
"T","100919","100768","Depressio","Depression","Depression",""
"T","100924","100768","Eversio","Eversion","Eversion",""
"T","100935","100768","Inversio","Inversion","Inversion",""
"T","100943","100768","Protractio","Protraction","Protraction",""
"T","100956","100768","Retractio","Retraction","Retraction",""
"T","100962","0","Corpus humanum","Human body","Human body",""
"T","100970","100962","Partes corporis humani","Parts of human body","Parts of human body",""
"T","100981","100970","Caput","Head","Head",""
"T","100997","100981","Pars neurocranialis capitis","Neurocranial part of head","Neurocranial part of head",""
"T","101000","100997","Cavitas cranii","Cranial cavity","Cranial cavity",""
"T","101013","100997","Frons","Forehead","Forehead",""
"T","101021","100997","Occiput","Occiput","Occiput",""
"T","101037","100997","Tempus","Temple","Temple",""
"T","101045","100997","Auricula","Auricle","Auricle","Pinna"
"T","101059","101045","Lobulus auriculae","Lobule of auricle","Lobule of auricle","Lobe of ear"
"T","101068","101045","Helix","Helix","Helix",""
"T","101076","101068","Crus helicis","Crus of helix","Crus of helix",""
"T","101084","101045","Antihelix","Antihelix","Antihelix",""
"T","101092","101084","Crura antihelicis","Crura of antihelix","Crura of antihelix",""
"T","101101","101045","Antitragus","Antitragus","Antitragus",""
"T","101117","101045","Tragus","Tragus","Tragus",""
"T","101125","100981","Facies","Face","Face",""
"T","101130","101125","Oculus","Eye","Eye",""
"T","101149","101130","Palpebra superior","Upper eyelid","Upper eyelid","Superior eyelid"
"T","101158","101130","Palpebra inferior","Lower eyelid","Lower eyelid","Inferior eyelid"
"T","101163","101125","Bucca","Cheek","Cheek",""
"T","101174","101125","Nasus externus","External nose","External nose",""
"T","101182","101174","Ala nasi","Ala of nose","Ala of nose",""
"T","101196","101125","Stoma","Mouth","Mouth",""
"T","101207","101196","Labium superius oris","Upper lip","Upper lip","Superior lip"
"T","101210","101196","Labium inferius oris","Lower lip","Lower lip","Inferior lip"
"T","101229","101125","Mentum","Chin","Chin",""
"T","101232","100970","Collum","Neck","Neck",""
"T","101241","100970","Truncus","Trunk","Trunk",""
"T","101255","101241","Thorax","Thorax","Thorax",""
"T","101264","101255","Cavitas thoracis","Thoracic cavity","Thoracic cavity",""
"T","101278","101241","Abdomen","Abdomen","Abdomen",""
"T","101286","101278","Cavitas abdominis","Abdominal cavity","Abdominal cavity",""
"T","101293","101241","Pelvis","Pelvis","Pelvis",""
"T","101308","101293","Cavitas pelvis","Pelvic cavity","Pelvic cavity",""
"T","101319","101293","Perineum","Perineum","Perineum",""
"T","101324","101241","Pars anterior trunci","Anterior trunk","Anterior trunk","Ventral trunk"
"T","101335","101324","Paries anterolateralis thoracis","Anterolateral thoracic wall","Anterolateral thoracic wall","Ventrolateral thoracic wall"
"T","101343","101324","Paries anterolateralis abdominis","Anterolateral abdominal wall","Anterolateral abdominal wall","Ventrolateral abdominal wall"
"T","101356","101241","Dorsum","Back","Back","Dorsal trunk; Posterior trunk"
"T","101362","101356","Dorsum thoracis","Back of thorax","Back of thorax","Upper back; Posterior thoracic wall"
"T","101370","101356","Dorsum abdominis","Back of abdomen","Back of abdomen","Lower back; Posterior abdominal wall"
"T","101381","100970","Membrum superius","Upper limb","Upper limb",""
"T","101397","101381","Omos","Shoulder","Shoulder",""
"T","101403","101381","Axilla","Axilla","Axilla",""
"T","101416","101403","Plica axillaris anterior","Anterior axillary fold","Anterior axillary fold",""
"T","101427","101403","Plica axillaris posterior","Posterior axillary fold","Posterior axillary fold",""
"T","101434","101381","Pars libera membri superioris","Free part of upper limb","Free part of upper limb",""
"T","101442","101434","Brachium","Arm","Arm",""
"T","101450","101434","Cubitus","Elbow","Elbow",""
"T","101469","101434","Antebrachium","Forearm","Forearm",""
"T","101475","101434","Carpus","Wrist","Wrist",""
"T","101488","101434","Manus","Hand","Hand",""
"T","101491","101488","Metacarpus","Metacarpus","Metacarpus",""
"T","101502","101488","Digiti manus","Digits of hand","Digits of hand","Fingers including thumb"
"T","101515","101502","Pollex","Thumb","Thumb","First digit of hand; Digit 1 of hand"
"T","101528","101502","Index","Index finger","Index finger","Second digit of hand; Digit 2 of hand"
"T","101531","101502","Digitus medius manus","Middle finger","Middle finger","Third digit of hand; Digit 3 of hand"
"T","101544","101502","Digitus anularis","Ring finger","Ring finger","Fourth digit of hand; Digit 4 of hand"
"T","101553","101502","Digitus minimus manus","Little finger","Little finger","Fifth digit of hand; Digit 5 of hand"
"T","101566","100970","Membrum inferius","Lower limb","Lower limb",""
"T","101577","101566","Natis","Buttock","Buttock",""
"T","101589","101566","Coxa","Hip","Hip",""
"T","101590","101566","Pars libera membri inferioris","Free part of lower limb","Free part of lower limb",""
"T","101609","101590","Femur","Thigh","Thigh",""
"T","101614","101590","Genu","Knee","Knee",""
"T","101623","101614","Poples","Posterior part of knee","Posterior part of knee",""
"T","101638","101590","Crus","Leg","Leg",""
"T","101646","101638","Sura","Calf","Calf",""
"T","101651","101590","Talus","Ankle","Ankle",""
"T","101667","101590","Pes","Foot","Foot",""
"T","101672","101667","Calx","Heel","Heel",""
"T","101680","101667","Pars media pedis","Midfoot","Midfoot",""
"T","101695","101667","Metatarsus","Metatarsus","Metatarsus",""
"T","101705","101667","Digiti pedis","Digits of foot","Digits of foot","Toes"
"T","101718","101705","Hallux","Great toe","Great toe","First toe; First digit of foot; Digit 1 of foot"
"T","101726","101705","Digitus secundus pedis","Second toe","Second toe","Second digit of foot; Digit 2 of foot"
"T","101739","101705","Digitus tertius pedis","Third toe","Third toe","Third digit of foot; Digit 3 of foot"
"T","101747","101705","Digitus quartus pedis","Fourth toe","Fourth toe","Fourth digit of foot; Digit 4 of foot"
"T","101752","101705","Digitus minimus pedis","Little toe","Little toe","Fifth toe; Fifth digit of foot; Digit 5 of foot"
"T","101760","100962","Regiones corporis humani","Regions of human body","Regions of human body",""
"T","101771","101760","Regiones capitis","Regions of head","Regions of head","Head region"
"T","101783","101771","Regiones epicranii","Regions of epicranium","Regions of epicranium","Epicranial region"
"T","101794","101783","Vertex","Vertex","Vertex","Vertex of head"
"T","101806","101783","Regio frontalis","Frontal region","Frontal region",""
"T","101811","101806","Supercilium","Eyebrow","Eyebrow",""
"T","101822","101783","Regio parietalis","Parietal region","Parietal region",""
"T","101833","101783","Regio occipitalis","Occipital region","Occipital region",""
"T","101840","101783","Regio temporalis","Temporal region","Temporal region",""
"T","101854","101783","Regio mastoidea","Mastoid region","Mastoid region",""
"T","101865","101771","Regio auricularis","Auricular region","Auricular region",""
"T","101879","101865","Fossa triangularis","Triangular fossa","Triangular fossa",""
"T","101887","101865","Scapha","Scapha","Scapha",""
"T","101898","101865","Concha auriculae","Concha of auricle","Concha of auricle",""
