#"Status","Id","Parent","LatinName","UsEnglish","Translation","Synonyms"
"T","100014","0","Termini generales","General terms","Termini generales",""
"T","100023","100014","Verticalis","Vertical","Verticalis",""
"T","100038","100014","Horizontalis","Horizontal","Horizontalis",""
"T","100046","100014","Medianus","Median","Medianus",""
"T","100051","100014","Coronalis","Coronal","Coronalis",""
"T","100067","100014","Sagittalis","Sagittal","Sagittalis",""
"T","100072","100014","Dexter","Right","Dexter",""
"T","100080","100014","Sinister","Left","Sinister",""
"T","100095","100014","Intermedius","Intermediate","Intermedius",""
"T","100102","100014","Medialis","Medial","Medialis",""
"T","100115","100014","Lateralis","Lateral","Lateralis",""
"T","100128","100014","Anterior","Anterior","Anterior",""
"T","100131","100014","Posterior","Posterior","Posterior",""
"T","100144","100014","Ventralis","Ventral","Ventralis",""
"T","100153","100014","Dorsalis","Dorsal","Dorsalis",""
"T","100166","100014","Frontalis","Frontal","Frontalis",""
"T","100177","100014","Occipitalis","Occipital","Occipitalis",""
"T","100189","100014","Superior","Superior","Superior",""
"T","100190","100014","Inferior","Inferior","Inferior",""
"T","100206","100014","Cranialis","Cranial","Cranialis",""
"T","100211","100014","Caudalis","Caudal","Caudalis",""
"T","100222","100014","Rostralis","Rostral","Rostralis",""
"T","100233","100014","Apicalis","Apical","Apicalis",""
"T","100240","100014","Basalis","Basal","Basalis",""
"T","100254","100014","Medius","Middle","Medius",""
"T","100265","100014","Transversus","Transverse","Transversus",""
"T","100279","100014","Longitudinalis","Longitudinal","Longitudinalis",""
"T","100287","100014","Axialis","Axial","Axialis",""
"T","100298","100014","Externus","External","Externus",""
"T","100303","100014","Internus","Internal","Internus",""
"T","100316","100014","Luminalis","Luminal","Luminalis",""
"T","100327","100014","Superficialis","Superficial","Superficialis",""
"T","100334","100014","Profundus","Deep","Profundus",""
"T","100342","100014","Proximalis","Proximal","Proximalis",""
"T","100350","100014","Distalis","Distal","Distalis",""
"T","100369","100014","Centralis","Central","Centralis",""
"T","100375","100014","Periphericus","Peripheral","Periphericus",""
"T","100388","100014","Radialis","Radial","Radialis",""
"T","100391","100014","Ulnaris","Ulnar","Ulnaris",""
"T","100401","100014","Fibularis","Fibular","Fibularis","Peroneus"
"T","100417","100014","Tibialis","Tibial","Tibialis",""
"T","100425","100014","Palmaris","Palmar","Palmaris",""
"T","100430","100014","Plantaris","Plantar","Plantaris",""
"T","100449","100014","Flexorius","Flexor","Flexorius",""
"T","100458","100014","Extensorius","Extensor","Extensorius",""
"T","100463","0","Plana referentiae","Reference planes","Plana referentiae",""
"T","100474","100463","Plana longitudinalia","Longitudinal planes","Plana longitudinalia","Plana verticales"
"T","100482","100474","Plana coronalia","Coronal planes","Plana coronalia","Plana frontalia"
"T","100496","100474","Plana sagittalia","Sagittal planes","Plana sagittalia",""
"T","100505","100496","Planum medianum","Median plane","Planum medianum",""
"T","100518","100496","Planum paramedianum","Paramedian plane","Planum paramedianum",""
"T","100526","100463","Plana transversa","Transverse planes","Plana transversa","Plana horizontalia"
"T","100539","100526","Planum transpyloricum","Transpyloric plane","Planum transpyloricum",""
"T","100547","100526","Planum subcostale","Subcostal plane","Planum subcostale",""
"T","100552","100526","Planum transumbilicalis","Transumbilical plane","Planum transumbilicalis",""
"T","100560","100526","Planum supracristale","Supracristal plane","Planum supracristale",""
"T","100571","100526","Planum intertuberculare","Intertubercular plane","Planum intertuberculare",""
"T","100583","100526","Planum interspinale","Interspinous plane","Planum interspinale",""
"T","100594","0","Lineae referentiae","Reference lines","Lineae referentiae",""
"T","100604","100594","Linea mediana anterior","Anterior median line","Linea mediana anterior",""
"T","100612","100594","Linea sternalis","Sternal line","Linea sternalis",""
"T","100620","100594","Linea parasternalis","Parasternal line","Linea parasternalis",""
"T","100636","100594","Linea medioclavicularis","Midclavicular line","Linea medioclavicularis",""
"T","100648","100594","Linea mamillaris","Mammillary line","Linea mamillaris",""
"T","100657","100594","Linea axillaris anterior","Anterior axillary line","Linea axillaris anterior",""
"T","100661","100594","Linea axillaris media","Midaxillary line","Linea axillaris media",""
"T","100673","100594","Linea axillaris posterior","Posterior axillary line","Linea axillaris posterior",""
"T","100685","100594","Linea scapularis","Scapular line","Linea scapularis",""
"T","100699","100594","Linea paravertebralis","Paravertebral line","Linea paravertebralis",""
"T","100700","100594","Linea mediana posterior","Posterior median line","Linea mediana posterior",""
"T","100713","0","Positiones corporis humani","Human body positions","Positiones corporis humani",""
"T","100721","100713","Positio anatomica","Anatomical position","Positio anatomica","Positio anatomica humana"
"T","100737","100713","Positio anatomica comparativa","Comparative anatomical position","Positio anatomica comparativa",""
"T","100745","100713","Positio prona","Prone position","Positio prona",""
"T","100759","100713","Positio supina","Supine position","Positio supina",""
"T","100768","0","Motus","Movements","Motus",""
"T","100776","100768","Abductio","Abduction","Abductio",""
"T","100784","100768","Adductio","Adduction","Adductio",""
"T","100792","100768","Rotatio lateralis","Lateral rotation","Rotatio lateralis","Rotatio externa; Exorotatio"
"T","100807","100768","Rotatio medialis","Medial rotation","Rotatio medialis","Rotatio interna; Endorotatio"
"T","100810","100768","Circumductio","Circumduction","Circumductio",""
"T","100829","100768","Flexio","Flexion","Flexio",""
"T","100832","100768","Extensio","Extension","Extensio",""
"T","100841","100768","Pronatio","Pronation","Pronatio",""
"T","100855","100768","Supinatio","Supination","Supinatio",""
"T","100864","100768","Oppositio","Opposition","Oppositio",""
"T","100878","100768","Repositio","Reposition","Repositio",""
"T","100886","100768","Plantiflexio","Plantar flexion","Plantiflexio",""
"T","100893","100768","Dorsiflexio","Dorsiflexion","Dorsiflexio",""
"T","100908","100768","Elevatio","Elevation","Elevatio",""
"T","100919","100768","Depressio","Depression","Depressio",""
"T","100924","100768","Eversio","Eversion","Eversio",""
"T","100935","100768","Inversio","Inversion","Inversio",""
"T","100943","100768","Protractio","Protraction","Protractio",""
"T","100956","100768","Retractio","Retraction","Retractio",""
"T","100962","0","Corpus humanum","Human body","Corpus humanum",""
"T","100970","100962","Partes corporis humani","Parts of human body","Partes corporis humani",""
"T","100981","100970","Caput","Head","Caput",""
"T","100997","100981","Pars neurocranialis capitis","Neurocranial part of head","Pars neurocranialis capitis",""
"T","101000","100997","Cavitas cranii","Cranial cavity","Cavitas cranii",""
"T","101013","100997","Frons","Forehead","Frons",""
"T","101021","100997","Occiput","Occiput","Occiput",""
"T","101037","100997","Tempus","Temple","Tempus","Tempulum"
"T","101045","100997","Auricula","Auricle","Auricula",""
"T","101059","101045","Lobulus auriculae","Lobule of auricle","Lobulus auriculae",""
"T","101068","101045","Helix","Helix","Helix",""
"T","101076","101068","Crus helicis","Crus of helix","Crus helicis",""
"T","101084","101045","Antihelix","Antihelix","Antihelix",""
"T","101092","101084","Crura antihelicis","Crura of antihelix","Crura antihelicis",""
"T","101101","101045","Antitragus","Antitragus","Antitragus",""
"T","101117","101045","Tragus","Tragus","Tragus",""
"T","101125","100981","Facies","Face","Facies",""
"T","101130","101125","Oculus","Eye","Oculus",""
"T","101149","101130","Palpebra superior","Upper eyelid","Palpebra superior",""
"T","101158","101130","Palpebra inferior","Lower eyelid","Palpebra inferior",""
"T","101163","101125","Bucca","Cheek","Bucca",""
"T","101174","101125","Nasus externus","External nose","Nasus externus",""
"T","101182","101174","Ala nasi","Ala of nose","Ala nasi",""
"T","101196","101125","Stoma","Mouth","Stoma","Ostium orale"
"T","101207","101196","Labium superius oris","Upper lip","Labium superius oris",""
"T","101210","101196","Labium inferius oris","Lower lip","Labium inferius oris",""
"T","101229","101125","Mentum","Chin","Mentum",""
"T","101232","100970","Collum","Neck","Collum","Cervix"
"T","101241","100970","Truncus","Trunk","Truncus",""
"T","101255","101241","Thorax","Thorax","Thorax",""
"T","101264","101255","Cavitas thoracis","Thoracic cavity","Cavitas thoracis",""
"T","101278","101241","Abdomen","Abdomen","Abdomen",""
"T","101286","101278","Cavitas abdominis","Abdominal cavity","Cavitas abdominis",""
"T","101293","101241","Pelvis","Pelvis","Pelvis",""
"T","101308","101293","Cavitas pelvis","Pelvic cavity","Cavitas pelvis",""
"T","101319","101293","Perineum","Perineum","Perineum",""
"T","101324","101241","Pars anterior trunci","Anterior trunk","Pars anterior trunci","Pars ventralis trunci"
"T","101335","101324","Paries anterolateralis thoracis","Anterolateral thoracic wall","Paries anterolateralis thoracis",""
"T","101343","101324","Paries anterolateralis abdominis","Anterolateral abdominal wall","Paries anterolateralis abdominis",""
"T","101356","101241","Dorsum","Back","Dorsum","Pars posterior trunci"
"T","101362","101356","Dorsum thoracis","Back of thorax","Dorsum thoracis","Paries posterior thoracis"
"T","101370","101356","Dorsum abdominis","Back of abdomen","Dorsum abdominis","Paries posterior abdominis"
"T","101381","100970","Membrum superius","Upper limb","Membrum superius",""
"T","101397","101381","Omos","Shoulder","Omos",""
"T","101403","101381","Axilla","Axilla","Axilla",""
"T","101416","101403","Plica axillaris anterior","Anterior axillary fold","Plica axillaris anterior",""
"T","101427","101403","Plica axillaris posterior","Posterior axillary fold","Plica axillaris posterior",""
"T","101434","101381","Pars libera membri superioris","Free part of upper limb","Pars libera membri superioris","Membrum superius liberum"
"T","101442","101434","Brachium","Arm","Brachium",""
"T","101450","101434","Cubitus","Elbow","Cubitus",""
"T","101469","101434","Antebrachium","Forearm","Antebrachium",""
"T","101475","101434","Carpus","Wrist","Carpus",""
"T","101488","101434","Manus","Hand","Manus",""
"T","101491","101488","Metacarpus","Metacarpus","Metacarpus",""
"T","101502","101488","Digiti manus","Digits of hand","Digiti manus",""
"T","101515","101502","Pollex","Thumb","Pollex","Digitus primus manus; Digitus i manus"
"T","101528","101502","Index","Index finger","Index","Digitus secundus manus; Digitus ii manus"
"T","101531","101502","Digitus medius manus","Middle finger","Digitus medius manus","Digitus tertius manus; Digitus iii manus"
"T","101544","101502","Digitus anularis","Ring finger","Digitus anularis","Digitus quartus manus; Digitus iv manus"
"T","101553","101502","Digitus minimus manus","Little finger","Digitus minimus manus","Digitus quintus manus; Digitus v manus"
"T","101566","100970","Membrum inferius","Lower limb","Membrum inferius",""
"T","101577","101566","Natis","Buttock","Natis","Clunis"
"T","101589","101566","Coxa","Hip","Coxa",""
"T","101590","101566","Pars libera membri inferioris","Free part of lower limb","Pars libera membri inferioris","Membrum inferius liberum"
"T","101609","101590","Femur","Thigh","Femur",""
"T","101614","101590","Genu","Knee","Genu",""
"T","101623","101614","Poples","Posterior part of knee","Poples",""
"T","101638","101590","Crus","Leg","Crus",""
"T","101646","101638","Sura","Calf","Sura",""
"T","101651","101590","Talus","Ankle","Talus",""
"T","101667","101590","Pes","Foot","Pes",""
"T","101672","101667","Calx","Heel","Calx",""
"T","101680","101667","Pars media pedis","Midfoot","Pars media pedis",""
"T","101695","101667","Metatarsus","Metatarsus","Metatarsus",""
"T","101705","101667","Digiti pedis","Digits of foot","Digiti pedis",""
"T","101718","101705","Hallux","Great toe","Hallux","Digitus primus pedis; Digitus i pedis"
"T","101726","101705","Digitus secundus pedis","Second toe","Digitus secundus pedis","Digitus ii pedis"
"T","101739","101705","Digitus tertius pedis","Third toe","Digitus tertius pedis","Digitus iii pedis"
"T","101747","101705","Digitus quartus pedis","Fourth toe","Digitus quartus pedis","Digitus iv pedis"
"T","101752","101705","Digitus minimus pedis","Little toe","Digitus minimus pedis","Digitus quintus pedis; Digitus v pedis"
"T","101760","100962","Regiones corporis humani","Regions of human body","Regiones corporis humani",""
"T","101771","101760","Regiones capitis","Regions of head","Regiones capitis","Regio capitalis"
"T","101783","101771","Regiones epicranii","Regions of epicranium","Regiones epicranii","Regio epicranialis"
"T","101794","101783","Vertex","Vertex","Vertex","Vertex capitis"
"T","101806","101783","Regio frontalis","Frontal region","Regio frontalis",""
"T","101811","101806","Supercilium","Eyebrow","Supercilium",""
"T","101822","101783","Regio parietalis","Parietal region","Regio parietalis",""
"T","101833","101783","Regio occipitalis","Occipital region","Regio occipitalis",""
"T","101840","101783","Regio temporalis","Temporal region","Regio temporalis",""
"T","101854","101783","Regio mastoidea","Mastoid region","Regio mastoidea",""
"T","101865","101771","Regio auricularis","Auricular region","Regio auricularis",""
"T","101879","101865","Fossa triangularis","Triangular fossa","Fossa triangularis",""
"T","101887","101865","Scapha","Scapha","Scapha",""
"T","101898","101865","Concha auriculae","Concha of auricle","Concha auriculae",""
"T","101904","101898","Cymba conchae","Cymba conchae","Cymba conchae",""
"T","101912","101898","Cavitas conchae","Cavity of concha","Cavitas conchae",""
"T","101920","101865","Incisura anterior auriculae","Anterior notch of auricle","Incisura anterior auriculae",""
"T","101936","101865","Incisura intertragica","Intertragic incisure","Incisura intertragica",""
"T","101948","101865","Tuberculum auriculae","Auricular tubercle","Tuberculum auriculae",""
"T","101957","101865","Apex auriculae","Apex of auricle","Apex auriculae",""
"T","101961","101865","Sulcus posterior auriculae","Posterior auricular groove","Sulcus posterior auriculae",""
"T","101973","101865","Tuberculum supratragicum","Supratragic tubercle","Tuberculum supratragicum",""
"T","101985","101865","Fossa antihelica","Fossa antihelica","Fossa antihelica",""
"T","101999","101865","Eminentia conchae","Eminentia conchae","Eminentia conchae",""
"T","102004","101865","Eminentia scaphae","Eminentia scaphae","Eminentia scaphae",""
"T","102012","101865","Eminentia fossae triangularis","Eminentia fossae triangularis","Eminentia fossae triangularis",""
"T","102020","101771","Regiones faciei","Regions of face","Regiones faciei","Regio facialis"
"T","102036","102020","Regio orbitalis","Orbital region","Regio orbitalis",""
"T","102048","102036","Sulcus suprapalpebralis","Suprapalpebral sulcus","Sulcus suprapalpebralis",""
"T","102057","102036","Rima palpebrarum","Palpebral fissure","Rima palpebrarum",""
"T","102061","102036","Commissura lateralis palpebrarum","Lateral palpebral commissure","Commissura lateralis palpebrarum",""
"T","102073","102036","Commissura medialis palpebrarum","Medial palpebral commissure","Commissura medialis palpebrarum",""
"T","102085","102036","Angulus lateralis oculi","Lateral angle of eye","Angulus lateralis oculi",""
"T","102099","102036","Angulus medialis oculi","Medial angle of eye","Angulus medialis oculi",""
"T","102103","102036","Sulcus infrapalpebralis","Infrapalpebral sulcus","Sulcus infrapalpebralis",""
"T","102116","102036","Plica palpebronasalis","Palpebronasal fold","Plica palpebronasalis",""
"T","102127","102020","Regio infraorbitalis","Infraorbital region","Regio infraorbitalis",""
"T","102134","102020","Regio buccalis","Buccal region","Regio buccalis",""
"T","102142","102020","Regio parotideomasseterica","Parotideomasseteric region","Regio parotideomasseterica",""
"T","102150","102020","Regio zygomatica","Zygomatic region","Regio zygomatica",""
"T","102169","102020","Regio nasalis","Nasal region","Regio nasalis",""
"T","102175","102169","Radix nasi","Root of nose","Radix nasi",""
"T","102188","102169","Dorsum nasi","Dorsum of nose","Dorsum nasi",""
"T","102191","102169","Apex nasi","Apex of nose","Apex nasi",""
"T","102209","102020","Sulcus nasolabialis","Nasolabial sulcus","Sulcus nasolabialis",""
"T","102214","102020","Regio oralis","Oral region","Regio oralis",""
"T","102223","102214","Philtrum","Philtrum","Philtrum",""
"T","102238","102214","Tuberculum labii superioris","Tubercle of upper lip","Tuberculum labii superioris",""
"T","102246","102214","Commissura labiorum oris","Labial commissure","Commissura labiorum oris",""
"T","102251","102214","Angulus oris","Angle of mouth","Angulus oris",""
"T","102267","102020","Sulcus mentolabialis","Mentolabial sulcus","Sulcus mentolabialis",""
"T","102272","102020","Regio mentalis","Mental region","Regio mentalis",""
"T","102280","101760","Regiones colli","Regions of neck","Regiones colli","Regio cervicalis"
"T","102295","102280","Regio anterior colli","Anterior region of neck","Regio anterior colli","Regio cervicalis anterior"
"T","102307","102295","Trigonum anterius  colli","Anterior triangle of neck","Trigonum anterius  colli","Trigonum cervicale anterius"
"T","102310","102295","Regio suprahyoidea","Suprahyoid region","Regio suprahyoidea",""
"T","102329","102310","Trigonum submandibulare","Submandibular triangle","Trigonum submandibulare",""
"T","102332","102310","Trigonum submentale","Submental triangle","Trigonum submentale",""
"T","102341","102295","Regio infrahyoidea","Infrahyoid region","Regio infrahyoidea",""
"T","102355","102341","Trigonum caroticum","Carotid triangle","Trigonum caroticum",""
"T","102364","102341","Trigonum musculare","Muscular triangle","Trigonum musculare","Trigonum omotracheale"
"T","102378","102280","Regio sternocleidomastoidea","Sternocleidomastoid region","Regio sternocleidomastoidea",""
"T","102386","102378","Fossa supraclavicularis minor","Lesser supraclavicular fossa","Fossa supraclavicularis minor",""
"T","102393","102280","Regio lateralis colli","Lateral region of neck","Regio lateralis colli","Regio cervicalis lateralis; Trigonum posterius colli; Trigonum cervicale posterius"
"T","102406","102393","Fossa supraclavicularis major","Greater supraclavicular fossa","Fossa supraclavicularis major",""
"T","102411","102393","Trigonum omoclaviculare","Omoclavicular triangle","Trigonum omoclaviculare",""
"T","102422","102393","Trigonum occipitale","Occipital triangle","Trigonum occipitale","Trigonum omotrapezium"
"T","102433","102280","Regio posterior colli","Posterior region of neck","Regio posterior colli","Regio cervicalis posterior"
"T","102440","101760","Regiones thoracis","Regions of thorax","Regiones thoracis","Regio thoracica"
"T","102454","102440","Regio anterior thoracis","Anterior region of thorax","Regio anterior thoracis","Regio thoracica anterior"
"T","102465","102454","Precordium","Precordium","Precordium","Praecordium"
"T","102479","102454","Regio presternalis","Presternal region","Regio presternalis","Regio praesternalis"
"T","102487","102454","Fossa infraclavicularis","Infraclavicular fossa","Fossa infraclavicularis",""
"T","102498","102454","Trigonum deltopectorale","Deltopectoral triangle","Trigonum deltopectorale","Trigonum clavipectorale"
"T","102501","102454","Sulcus deltopectoralis","Deltopectoral groove","Sulcus deltopectoralis",""
"T","102517","102454","Regio pectoralis","Pectoral region","Regio pectoralis",""
"T","102525","102517","Regio mammaria","Mammary region","Regio mammaria",""
"T","102530","102517","Regio inframammaria","Inframammary region","Regio inframammaria",""
"T","102549","102440","Regio lateralis thoracis","Lateral region of thorax","Regio lateralis thoracis","Regio thoracica lateralis"
"T","102558","101760","Regiones abdominis","Regions of abdomen","Regiones abdominis","Regio abdominalis"
"T","102563","102558","Regio hypochondriaca","Hypochondriac region","Regio hypochondriaca","Hypochondrium"
"T","102574","102558","Regio epigastrica","Epigastric region","Regio epigastrica","Epigastrium"
"T","102582","102574","Fossa epigastrica","Epigastric fossa","Fossa epigastrica",""
"T","102596","102558","Regio lateralis abdominis","Lateral region of abdomen","Regio lateralis abdominis","Latus"
"T","102605","102558","Regio umbilicalis","Umbilical region","Regio umbilicalis",""
"T","102618","102605","Umbilicus","Umbilicus","Umbilicus",""
"T","102626","102558","Regio inguinalis","Inguinal region","Regio inguinalis","Inguen"
"T","102639","102558","Regio hypogastrica","Hypogastric region","Regio hypogastrica","Hypogastrium; Regio pubica"
"T","102647","101760","Regiones dorsi","Regions of back","Regiones dorsi","Regio dorsalis"
"T","102652","102647","Regio vertebralis","Vertebral region","Regio vertebralis",""
"T","102660","102647","Regio scapularis","Scapular region","Regio scapularis",""
"T","102671","102647","Trigonum auscultationis","Triangle of auscultation","Trigonum auscultationis",""
"T","102683","102647","Regio infrascapularis","Infrascapular region","Regio infrascapularis",""
"T","102694","102647","Regio lumbalis","Lumbar region","Regio lumbalis",""
"T","102708","102694","Trigonum lumbale","Lumbar triangle","Trigonum lumbale","Trigonum lumbale inferius"
"T","102719","102694","Trigonum lumbale superius","Superior lumbar triangle","Trigonum lumbale superius",""
"T","102724","102647","Regio sacralis","Sacral region","Regio sacralis",""
"T","102735","102724","Foveola sacroiliaca","Sacroiliac dimple","Foveola sacroiliaca",""
"T","102743","102647","Regio coccygea","Coccygeal region","Regio coccygea",""
"T","102756","102743","Foveola coccygea","Coccygeal foveola","Foveola coccygea",""
"T","102762","101760","Regiones perinei","Regions of perineum","Regiones perinei","Regio perinealis"
"T","102770","102762","Regio analis","Anal region","Regio analis",""
"T","102781","102770","Trigonum anale","Anal triangle","Trigonum anale",""
"T","102797","102762","Regio urogenitalis","Urogenital region","Regio urogenitalis","Trigonum urogenitale"
"T","102802","101760","Regiones membri superioris","Regions of upper limb","Regiones membri superioris",""
"T","102815","102802","Regio axillaris","Axillary region","Regio axillaris",""
"T","102828","102815","Fossa axillaris","Axillary fossa","Fossa axillaris",""
"T","102831","102802","Regio deltoidea","Deltoid region","Regio deltoidea",""
