#"Status","Id","Parent","LatinName","UsEnglish","Translation","Synonyms"
"N","100014","0","Termini generales","General terms","",""
"N","100023","100014","Verticalis","Vertical","",""
"N","100038","100014","Horizontalis","Horizontal","",""
"N","100046","100014","Medianus","Median","",""
"N","100051","100014","Coronalis","Coronal","",""
"N","100067","100014","Sagittalis","Sagittal","",""
"N","100072","100014","Dexter","Right","",""
"N","100080","100014","Sinister","Left","",""
"N","100095","100014","Intermedius","Intermediate","",""
"N","100102","100014","Medialis","Medial","",""
"N","100115","100014","Lateralis","Lateral","",""
"N","100128","100014","Anterior","Anterior","",""
"N","100131","100014","Posterior","Posterior","",""
"N","100144","100014","Ventralis","Ventral","",""
"N","100153","100014","Dorsalis","Dorsal","",""
"N","100166","100014","Frontalis","Frontal","",""
"N","100177","100014","Occipitalis","Occipital","",""
"N","100189","100014","Superior","Superior","",""
"N","100190","100014","Inferior","Inferior","",""
"N","100206","100014","Cranialis","Cranial","",""
"N","100211","100014","Caudalis","Caudal","",""
"N","100222","100014","Rostralis","Rostral","",""
"N","100233","100014","Apicalis","Apical","",""
"N","100240","100014","Basalis","Basal","",""
"N","100254","100014","Medius","Middle","",""
"N","100265","100014","Transversus","Transverse","",""
"N","100279","100014","Longitudinalis","Longitudinal","",""
"N","100287","100014","Axialis","Axial","",""
"N","100298","100014","Externus","External","",""
"N","100303","100014","Internus","Internal","",""
"N","100316","100014","Luminalis","Luminal","",""
"N","100327","100014","Superficialis","Superficial","",""
"N","100334","100014","Profundus","Deep","",""
"N","100342","100014","Proximalis","Proximal","",""
"N","100350","100014","Distalis","Distal","",""
"N","100369","100014","Centralis","Central","",""
"N","100375","100014","Periphericus","Peripheral","",""
"N","100388","100014","Radialis","Radial","",""
"N","100391","100014","Ulnaris","Ulnar","",""
"N","100401","100014","Fibularis","Fibular","",""
"N","100417","100014","Tibialis","Tibial","",""
"N","100425","100014","Palmaris","Palmar","",""
"N","100430","100014","Plantaris","Plantar","",""
"N","100449","100014","Flexorius","Flexor","",""
"N","100458","100014","Extensorius","Extensor","",""
"N","100463","0","Plana referentiae","Reference planes","",""
"N","100474","100463","Plana longitudinalia","Longitudinal planes","",""
"N","100482","100474","Plana coronalia","Coronal planes","",""
"N","100496","100474","Plana sagittalia","Sagittal planes","",""
"N","100505","100496","Planum medianum","Median plane","",""
"N","100518","100496","Planum paramedianum","Paramedian plane","",""
"N","100526","100463","Plana transversa","Transverse planes","",""
"N","100539","100526","Planum transpyloricum","Transpyloric plane","",""
"N","100547","100526","Planum subcostale","Subcostal plane","",""
"N","100552","100526","Planum transumbilicalis","Transumbilical plane","",""
"N","100560","100526","Planum supracristale","Supracristal plane","",""
"N","100571","100526","Planum intertuberculare","Intertubercular plane","",""
"N","100583","100526","Planum interspinale","Interspinous plane","",""
"N","100594","0","Lineae referentiae","Reference lines","",""
"N","100604","100594","Linea mediana anterior","Anterior median line","",""
"N","100612","100594","Linea sternalis","Sternal line","",""
"N","100620","100594","Linea parasternalis","Parasternal line","",""
"N","100636","100594","Linea medioclavicularis","Midclavicular line","",""
"N","100648","100594","Linea mamillaris","Mammillary line","",""
"N","100657","100594","Linea axillaris anterior","Anterior axillary line","",""
"N","100661","100594","Linea axillaris media","Midaxillary line","",""
"N","100673","100594","Linea axillaris posterior","Posterior axillary line","",""
"N","100685","100594","Linea scapularis","Scapular line","",""
"N","100699","100594","Linea paravertebralis","Paravertebral line","",""
"N","100700","100594","Linea mediana posterior","Posterior median line","",""
"N","100713","0","Positiones corporis humani","Human body positions","",""
"N","100721","100713","Positio anatomica","Anatomical position","",""
"N","100737","100713","Positio anatomica comparativa","Comparative anatomical position","",""
"N","100745","100713","Positio prona","Prone position","",""
"N","100759","100713","Positio supina","Supine position","",""
"N","100768","0","Motus","Movements","",""
"N","100776","100768","Abductio","Abduction","",""
"N","100784","100768","Adductio","Adduction","",""
"N","100792","100768","Rotatio lateralis","Lateral rotation","",""
"N","100807","100768","Rotatio medialis","Medial rotation","",""
"N","100810","100768","Circumductio","Circumduction","",""
"N","100829","100768","Flexio","Flexion","",""
"N","100832","100768","Extensio","Extension","",""
"N","100841","100768","Pronatio","Pronation","",""
"N","100855","100768","Supinatio","Supination","",""
"N","100864","100768","Oppositio","Opposition","",""
"N","100878","100768","Repositio","Reposition","",""
"N","100886","100768","Plantiflexio","Plantar flexion","",""
"N","100893","100768","Dorsiflexio","Dorsiflexion","",""
"N","100908","100768","Elevatio","Elevation","",""
"N","100919","100768","Depressio","Depression","",""
"N","100924","100768","Eversio","Eversion","",""
"N","100935","100768","Inversio","Inversion","",""
"N","100943","100768","Protractio","Protraction","",""
"N","100956","100768","Retractio","Retraction","",""
"N","100962","0","Corpus humanum","Human body","",""
"N","100970","100962","Partes corporis humani","Parts of human body","",""
"N","100981","100970","Caput","Head","",""
"N","100997","100981","Pars neurocranialis capitis","Neurocranial part of head","",""
"N","101000","100997","Cavitas cranii","Cranial cavity","",""
"N","101013","100997","Frons","Forehead","",""
"N","101021","100997","Occiput","Occiput","",""
"N","101037","100997","Tempus","Temple","",""
"N","101045","100997","Auricula","Auricle","",""
"N","101059","101045","Lobulus auriculae","Lobule of auricle","",""
"N","101068","101045","Helix","Helix","",""
"N","101076","101068","Crus helicis","Crus of helix","",""
"N","101084","101045","Antihelix","Antihelix","",""
"N","101092","101084","Crura antihelicis","Crura of antihelix","",""
"N","101101","101045","Antitragus","Antitragus","",""
"N","101117","101045","Tragus","Tragus","",""
"N","101125","100981","Facies","Face","",""
"N","101130","101125","Oculus","Eye","",""
"N","101149","101130","Palpebra superior","Upper eyelid","",""
"N","101158","101130","Palpebra inferior","Lower eyelid","",""
"N","101163","101125","Bucca","Cheek","",""
"N","101174","101125","Nasus externus","External nose","",""
"N","101182","101174","Ala nasi","Ala of nose","",""
"N","101196","101125","Stoma","Mouth","",""
"N","101207","101196","Labium superius oris","Upper lip","",""
"N","101210","101196","Labium inferius oris","Lower lip","",""
"N","101229","101125","Mentum","Chin","",""
"N","101232","100970","Collum","Neck","",""
"N","101241","100970","Truncus","Trunk","",""
