#"Status","Id","Translation","Synonyms"
"T","100014","General terms",""
"T","100023","Vertical",""
"T","100038","Horizontal",""
"T","100046","Median",""
"T","100051","Coronal",""
"T","100067","Sagittal",""
"T","100072","Right",""
"T","100080","Left",""
"T","100095","Intermediate",""
"T","100102","Medial",""
"T","100115","Lateral",""
"T","100128","Anterior",""
"T","100131","Posterior",""
"T","100144","Ventral",""
"T","100153","Dorsal",""
"T","100166","Frontal",""
"T","100177","Occipital",""
"T","100189","Superior",""
"T","100190","Inferior",""
"T","100206","Cranial",""
"T","100211","Caudal",""
"T","100222","Rostral",""
"T","100233","Apical",""
"T","100240","Basal",""
"T","100254","Middle",""
"T","100265","Transverse",""
"T","100279","Longitudinal",""
"T","100287","Axial",""
"T","100298","External",""
"T","100303","Internal",""
"T","100316","Luminal",""
"T","100327","Superficial",""
"T","100334","Deep",""
"T","100342","Proximal",""
"T","100350","Distal",""
"T","100369","Central",""
"T","100375","Peripheral",""
"T","100388","Radial",""
"T","100391","Ulnar",""
"T","100401","Fibular","Peroneal"
"T","100417","Tibial",""
"T","100425","Palmar",""
"T","100430","Plantar",""
"T","100449","Flexor",""
"T","100458","Extensor",""
"T","100463","Reference planes",""
"T","100474","Longitudinal planes","Vertical planes"
"T","100482","Coronal planes","Frontal planes"
"T","100496","Sagittal planes",""
"T","100505","Median plane","Median sagittal plane"
"T","100518","Paramedian plane","Paramedian sagittal plane"
"T","100526","Transverse planes","Horizontal planes"
"T","100539","Transpyloric plane",""
"T","100547","Subcostal plane",""
"T","100552","Transumbilical plane",""
"T","100560","Supracristal plane",""
"T","100571","Intertubercular plane",""
"T","100583","Interspinous plane",""
"T","100594","Reference lines",""
"T","100604","Anterior median line",""
"T","100612","Sternal line",""
"T","100620","Parasternal line",""
"T","100636","Midclavicular line",""
"T","100648","Mamillary line","Nipple line"
"T","100657","Anterior axillary line",""
"T","100661","Midaxillary line",""
"T","100673","Posterior axillary line",""
"T","100685","Scapular line",""
"T","100699","Paravertebral line",""
"T","100700","Posterior median line",""
"T","100713","Human body positions",""
"T","100721","Anatomical position","Human anatomical position"
"T","100737","Comparative anatomical position",""
"T","100745","Prone position",""
"T","100759","Supine position",""
"T","100768","Movements",""
"T","100776","Abduction",""
"T","100784","Adduction",""
"T","100792","Lateral rotation","External rotation"
"T","100807","Medial rotation","Internal rotation"
"T","100810","Circumduction",""
"T","100829","Flexion",""
"T","100832","Extension",""
"T","100841","Pronation",""
"T","100855","Supination",""
"T","100864","Opposition",""
"T","100878","Reposition",""
"T","100886","Plantar flexion","Plantiflexion"
"T","100893","Dorsiflexion",""
"T","100908","Elevation",""
"T","100919","Depression",""
"T","100924","Eversion",""
"T","100935","Inversion",""
"T","100943","Protraction",""
"T","100956","Retraction",""
"T","100962","Human body",""
"T","100970","Parts of human body",""
"T","100981","Head",""
"T","100997","Neurocranial part of head",""
"T","101000","Cranial cavity",""
"T","101013","Forehead",""
"T","101021","Occiput",""
"T","101037","Temple",""
"T","101045","Auricle","Pinna"
"T","101059","Lobule of auricle","Lobe of ear"
"T","101068","Helix",""
"T","101076","Crus of helix",""
"T","101084","Antihelix",""
"T","101092","Crura of antihelix",""
"T","101101","Antitragus",""
"T","101117","Tragus",""
"T","101125","Face",""
"T","101130","Eye",""
"T","101149","Upper eyelid","Superior eyelid"
"T","101158","Lower eyelid","Inferior eyelid"
"T","101163","Cheek",""
"T","101174","External nose",""
"T","101182","Ala of nose",""
"T","101196","Mouth",""
"T","101207","Upper lip","Superior lip"
"T","101210","Lower lip","Inferior lip"
"T","101229","Chin",""
"T","101232","Neck",""
"T","101241","Trunk",""
"T","101255","Thorax",""
"T","101264","Thoracic cavity",""
"T","101278","Abdomen",""
"T","101286","Abdominal cavity",""
"T","101293","Pelvis",""
"T","101308","Pelvic cavity",""
"T","101319","Perineum",""
"T","101324","Anterior trunk","Ventral trunk"
"T","101335","Anterolateral thoracic wall","Ventrolateral thoracic wall"
"T","101343","Anterolateral abdominal wall","Ventrolateral abdominal wall"
"T","101356","Back","Dorsal trunk; Posterior trunk"
"T","101362","Back of thorax","Upper back; Posterior thoracic wall"
"T","101370","Back of abdomen","Lower back; Posterior abdominal wall"
"T","101381","Upper limb",""
"T","101397","Shoulder",""
"T","101403","Axilla",""
"T","101416","Anterior axillary fold",""
"T","101427","Posterior axillary fold",""
"T","101434","Free part of upper limb",""
"T","101442","Arm",""
"T","101450","Elbow",""
"T","101469","Forearm",""
"T","101475","Wrist",""
"T","101488","Hand",""
"T","101491","Metacarpus",""
"T","101502","Digits of hand","Fingers including thumb"
"T","101515","Thumb","First digit of hand; Digit 1 of hand"
"T","101528","Index finger","Second digit of hand; Digit 2 of hand"
"T","101531","Middle finger","Third digit of hand; Digit 3 of hand"
"T","101544","Ring finger","Fourth digit of hand; Digit 4 of hand"
"T","101553","Little finger","Fifth digit of hand; Digit 5 of hand"
"T","101566","Lower limb",""
"T","101577","Buttock",""
"T","101589","Hip",""
"T","101590","Free part of lower limb",""
"T","101609","Thigh",""
"T","101614","Knee",""
"T","101623","Posterior part of knee",""
"T","101638","Leg",""
"T","101646","Calf",""
"T","101651","Ankle",""
"T","101667","Foot",""
"T","101672","Heel",""
"T","101680","Midfoot",""
"T","101695","Metatarsus",""
"T","101705","Digits of foot","Toes"
"T","101718","Great toe","First toe; First digit of foot; Digit 1 of foot"
"T","101726","Second toe","Second digit of foot; Digit 2 of foot"
"T","101739","Third toe","Third digit of foot; Digit 3 of foot"
"T","101747","Fourth toe","Fourth digit of foot; Digit 4 of foot"
"T","101752","Little toe","Fifth toe; Fifth digit of foot; Digit 5 of foot"
"T","101760","Regions of human body",""
"T","101771","Regions of head","Head region"
"T","101783","Regions of epicranium","Epicranial region"
"T","101794","Vertex","Vertex of head"
"T","101806","Frontal region",""
"T","101811","Eyebrow",""
"T","101822","Parietal region",""
"T","101833","Occipital region",""
"T","101840","Temporal region",""
"T","101854","Mastoid region",""
"T","101865","Auricular region",""
"T","101879","Triangular fossa",""
"T","101887","Scapha",""
"T","101898","Concha of auricle",""
"T","101904","Cymba conchae",""
"T","101912","Cavity of concha",""
"T","101920","Anterior notch of auricle",""
"T","101936","Intertragic incisure","Intertragic notch"
"T","101948","Auricular tubercle",""
"T","101957","Apex of auricle","Tip of ear"
"T","101961","Posterior auricular groove",""
"T","101973","Supratragic tubercle",""
"T","101985","Fossa antihelica","Antihelical fossa"
"T","101999","Eminentia conchae",""
"T","102004","Eminentia scaphae",""
"T","102012","Eminentia fossae triangularis",""
"T","102020","Regions of face","Facial region"
"T","102036","Orbital region",""
"T","102048","Suprapalpebral sulcus",""
"T","102057","Palpebral fissure",""
"T","102061","Lateral palpebral commissure",""
