#"Status","Id","Translation","Synonyms"
"N","100014","",""
"N","100023","",""
"N","100038","",""
"N","100046","",""
"N","100051","",""
"N","100067","",""
"N","100072","",""
"N","100080","",""
"N","100095","",""
"N","100102","",""
"N","100115","",""
"N","100128","",""
"N","100131","",""
"N","100144","",""
"N","100153","",""
"N","100166","",""
"N","100177","",""
"N","100189","",""
"N","100190","",""
"N","100206","",""
"N","100211","",""
"N","100222","",""
"N","100233","",""
"N","100240","",""
"N","100254","",""
"N","100265","",""
"N","100279","",""
"N","100287","",""
"N","100298","",""
"N","100303","",""
"N","100316","",""
"N","100327","",""
"N","100334","",""
"N","100342","",""
"N","100350","",""
"N","100369","",""
"N","100375","",""
"N","100388","",""
"N","100391","",""
"N","100401","",""
"N","100417","",""
"N","100425","",""
"N","100430","",""
"N","100449","",""
"N","100458","",""
"N","100463","",""
"N","100474","",""
"N","100482","",""
"N","100496","",""
"N","100505","",""
"N","100518","",""
"N","100526","",""
"N","100539","",""
"N","100547","",""
"N","100552","",""
"N","100560","",""
"N","100571","",""
"N","100583","",""
"N","100594","",""
"N","100604","",""
"N","100612","",""
"N","100620","",""
"N","100636","",""
"N","100648","",""
"N","100657","",""
"N","100661","",""
"N","100673","",""
"N","100685","",""
"N","100699","",""
"N","100700","",""
"N","100713","",""
"N","100721","",""
"N","100737","",""
"N","100745","",""
"N","100759","",""
"N","100768","",""
"N","100776","",""
"N","100784","",""
"N","100792","",""
"N","100807","",""
"N","100810","",""
"N","100829","",""
"N","100832","",""
"N","100841","",""
"N","100855","",""
"N","100864","",""
"N","100878","",""
"N","100886","",""
"N","100893","",""
"N","100908","",""
"N","100919","",""
"N","100924","",""
"N","100935","",""
"N","100943","",""
"N","100956","",""
"N","100962","",""
"N","100970","",""
"N","100981","",""
"N","100997","",""
"N","101000","",""
"N","101013","",""
"N","101021","",""
"N","101037","",""
"N","101045","",""
"N","101059","",""
"N","101068","",""
"N","101076","",""
"N","101084","",""
"N","101092","",""
"N","101101","",""
"N","101117","",""
"N","101125","",""
"N","101130","",""
"N","101149","",""
"N","101158","",""
"N","101163","",""
"N","101174","",""
"N","101182","",""
"N","101196","",""
"N","101207","",""
"N","101210","",""
"N","101229","",""
"N","101232","",""
"N","101241","",""
"N","101255","",""
"N","101264","",""
"N","101278","",""
"N","101286","",""
"N","101293","",""
"N","101308","",""
"N","101319","",""
"N","101324","",""
"N","101335","",""
"N","101343","",""
"N","101356","",""
"N","101362","",""
"N","101370","",""
"N","101381","",""
"N","101397","",""
"N","101403","",""
"N","101416","",""
"N","101427","",""
"N","101434","",""
"N","101442","",""
"N","101450","",""
"N","101469","",""
"N","101475","",""
"N","101488","",""
"N","101491","",""
"N","101502","",""
"N","101515","",""
"N","101528","",""
"N","101531","",""
"N","101544","",""
"N","101553","",""
"N","101566","",""
"N","101577","",""
"N","101589","",""
"N","101590","",""
"N","101609","",""
"N","101614","",""
"N","101623","",""
"N","101638","",""
"N","101646","",""
"N","101651","",""
"N","101667","",""
"N","101672","",""
"N","101680","",""
"N","101695","",""
"N","101705","",""
"N","101718","",""
"N","101726","",""
"N","101739","",""
"N","101747","",""
"N","101752","",""
"N","101760","",""
"N","101771","",""
"N","101783","",""
"N","101794","",""
"N","101806","",""
"N","101811","",""
"N","101822","",""
"N","101833","",""
"N","101840","",""
"N","101854","",""
"N","101865","",""
"N","101879","",""
"N","101887","",""
"N","101898","",""
"N","101904","",""
"N","101912","",""
"N","101920","",""
"N","101936","",""
"N","101948","",""
"N","101957","",""
"N","101961","",""
"N","101973","",""
"N","101985","",""
"N","101999","",""
"N","102004","",""
"N","102012","",""
"N","102020","",""
"N","102036","",""
"N","102048","",""
"N","102057","",""
"N","102061","",""
"N","102073","",""
"N","102085","",""
"N","102099","",""
"N","102103","",""
"N","102116","",""
"N","102127","",""
"N","102134","",""
"N","102142","",""
"N","102150","",""
"N","102169","",""
"N","102175","",""
"N","102188","",""
"N","102191","",""
"N","102209","",""
"N","102214","",""
"N","102223","",""
"N","102238","",""
"N","102246","",""
"N","102251","",""
"N","102267","",""
"N","102272","",""
"N","102280","",""
"N","102295","",""
"N","102307","",""
"N","102310","",""
"N","102329","",""
"N","102332","",""
"N","102341","",""
"N","102355","",""
"N","102364","",""
"N","102378","",""
"N","102386","",""
"N","102393","",""
"N","102406","",""
"N","102411","",""
"N","102422","",""
"N","102433","",""
"N","102440","",""
"N","102454","",""
"N","102465","",""
"N","102479","",""
"N","102487","",""
"N","102498","",""
"N","102501","",""
"N","102517","",""
"N","102525","",""
"N","102530","",""
"N","102549","",""
"N","102558","",""
"N","102563","",""
"N","102574","",""
"N","102582","",""
"N","102596","",""
"N","102605","",""
"N","102618","",""
"N","102626","",""
"N","102639","",""
"N","102647","",""
"N","102652","",""
"N","102660","",""
"N","102671","",""
"N","102683","",""
"N","102694","",""
"N","102708","",""
"N","102719","",""
"N","102724","",""
"N","102735","",""
"N","102743","",""
"N","102756","",""
"N","102762","",""
"N","102770","",""
"N","102781","",""
"N","102797","",""
"N","102802","",""
"N","102815","",""
"N","102828","",""
"N","102831","",""
"N","102844","",""
"N","102853","",""
"N","102866","",""
"N","102877","",""
"N","102889","",""
"N","102890","",""
"N","102900","",""
"N","102913","",""
"N","102921","",""
"N","102937","",""
"N","102945","",""
"N","102959","",""
"N","102968","",""
"N","102976","",""
"N","102984","",""
"N","102992","",""
"N","103006","",""
"N","103011","",""
"N","103022","",""
"N","103033","",""
"N","103040","",""
"N","103054","",""
"N","103065","",""
"N","103079","",""
"N","103087","",""
"N","103098","",""
"N","103104","",""
"N","103112","",""
"N","103120","",""
"N","103136","",""
"N","103148","",""
"N","103157","",""
"N","103161","",""
"N","103173","",""
"N","103185","",""
"N","103199","",""
"N","103200","",""
"N","103213","",""
"N","103221","",""
"N","103237","",""
"N","103245","",""
"N","103259","",""
"N","103268","",""
"N","103276","",""
"N","103284","",""
"N","103292","",""
"N","103305","",""
"N","103318","",""
"N","103326","",""
"N","103339","",""
"N","103347","",""
"N","103352","",""
"N","103360","",""
"N","103371","",""
"N","103383","",""
"N","103394","",""
"N","103409","",""
"N","103414","",""
"N","103423","",""
"N","103438","",""
"N","103446","",""
"N","103451","",""
"N","103467","",""
"N","103472","",""
"N","103480","",""
"N","103495","",""
"N","103508","",""
"N","103519","",""
"N","103524","",""
"N","103535","",""
"N","103543","",""
"N","103556","",""
"N","103562","",""
"N","103570","",""
"N","103581","",""
"N","103597","",""
"N","103607","",""
"N","103610","",""
"N","103629","",""
"N","103632","",""
"N","103641","",""
"N","103655","",""
"N","103664","",""
"N","103678","",""
"N","103686","",""
"N","103693","",""
"N","103701","",""
"N","103717","",""
"N","103725","",""
"N","103730","",""
"N","103749","",""
"N","103758","",""
"N","103763","",""
"N","103774","",""
"N","103782","",""
"N","103796","",""
"N","103803","",""
"N","103816","",""
"N","103827","",""
"N","103834","",""
"N","103842","",""
"N","103850","",""
"N","103869","",""
"N","103875","",""
"N","103888","",""
"N","103891","",""
"N","103902","",""
"N","103915","",""
"N","103928","",""
"N","103931","",""
"N","103944","",""
"N","103953","",""
"N","103966","",""
"N","103977","",""
"N","103989","",""
"N","103990","",""
"N","104008","",""
"N","104019","",""
"N","104024","",""
"N","104035","",""
"N","104043","",""
"N","104056","",""
"N","104062","",""
"N","104070","",""
"N","104081","",""
"N","104097","",""
"N","104100","",""
"N","104113","",""
"N","104121","",""
"N","104137","",""
"N","104145","",""
"N","104159","",""
"N","104168","",""
"N","104176","",""
"N","104184","",""
"N","104192","",""
"N","104202","",""
"N","104215","",""
"N","104228","",""
