#"Status","Id","Translation","Synonyms"
"A","100014","Termini generali",""
"A","100023","Verticale",""
"A","100038","Orizzontale",""
"A","100046","Mediano",""
"A","100051","Coronale",""
"A","100067","sagittale",""
"A","100072","Giusto",""
"A","100080","Sinistra",""
"A","100095","Intermedio",""
"A","100102","Mediale",""
"A","100115","Laterale",""
"A","100128","Anteriore",""
"A","100131","Posteriore",""
"A","100144","Ventrale",""
"A","100153","Dorsale",""
"A","100166","Frontale",""
"A","100177","Occipitale",""
"A","100189","Superiore",""
"A","100190","Inferiore",""
"A","100206","Cranio",""
"A","100211","Caudale",""
"A","100222","Rostrale",""
"A","100233","Apicale",""
"A","100240","Basale",""
"A","100254","Mezzo",""
"A","100265","Trasversale",""
"A","100279","Longitudinale",""
"A","100287","Assiale",""
"A","100298","Esterno",""
"A","100303","Interno",""
"A","100316","Luminale",""
"A","100327","Superficiale",""
"A","100334","Profondo",""
"A","100342","Prossimale",""
"A","100350","distale",""
"A","100369","Centrale",""
"A","100375","Periferica",""
"A","100388","Radiale",""
"A","100391","Ulnare",""
"A","100401","Perone",""
"A","100417","Tibiale",""
"A","100425","Palmare",""
"A","100430","Plantare",""
"A","100449","Flessore",""
"A","100458","Estensore",""
"A","100463","Piani di riferimento",""
"A","100474","Piani longitudinali",""
"A","100482","Piani coronali",""
"A","100496","Piani sagittali",""
"A","100505","Piano mediano",""
"A","100518","Piano paramediano",""
"A","100526","Piani trasversali",""
"A","100539","Piano transpilorico",""
"A","100547","Piano sottocostale",""
"A","100552","Piano transombelicale",""
"A","100560","Piano sopracristallo",""
"A","100571","Piano intertubercolare",""
"A","100583","Piano interspinoso",""
"A","100594","Linee di riferimento",""
"A","100604","Linea mediana anteriore",""
"A","100612","Linea sternale",""
"A","100620","Linea parasternale",""
"A","100636","Linea medioclavicolare",""
"A","100648","Linea mammillare",""
"A","100657","Linea ascellare anteriore",""
"A","100661","Linea medioascellare",""
"A","100673","Linea ascellare posteriore",""
"A","100685","Linea scapolare",""
"A","100699","Linea paravertebrale",""
"A","100700","Linea mediana posteriore",""
"A","100713","Posizioni del corpo umano",""
"A","100721","Posizione anatomica",""
"A","100737","Posizione anatomica comparata",""
"A","100745","Posizione prona",""
"A","100759","Posizione supina",""
"A","100768","Movimenti",""
"A","100776","Rapimento",""
"A","100784","Adduzione",""
"A","100792","Rotazione laterale",""
"A","100807","Rotazione mediale",""
"A","100810","Circonduzione",""
"A","100829","Flessione",""
"A","100832","Estensione",""
"A","100841","Pronazione",""
"A","100855","Supinazione",""
"A","100864","Opposizione",""
"A","100878","Riposizionare",""
"A","100886","Flessione plantare",""
"A","100893","Dorsiflessione",""
"A","100908","Elevazione",""
"A","100919","Depressione",""
