#"Status","Id","Translation","Synonyms"
"T","100014","Termini generales",""
"T","100023","Verticalis",""
"T","100038","Horizontalis",""
"T","100046","Medianus",""
"T","100051","Coronalis",""
"T","100067","Sagittalis",""
"T","100072","Dexter",""
"T","100080","Sinister",""
"T","100095","Intermedius",""
"T","100102","Medialis",""
"T","100115","Lateralis",""
"T","100128","Anterior",""
"T","100131","Posterior",""
"T","100144","Ventralis",""
"T","100153","Dorsalis",""
"T","100166","Frontalis",""
"T","100177","Occipitalis",""
"T","100189","Superior",""
"T","100190","Inferior",""
"T","100206","Cranialis",""
"T","100211","Caudalis",""
"T","100222","Rostralis",""
"T","100233","Apicalis",""
"T","100240","Basalis",""
"T","100254","Medius",""
"T","100265","Transversus",""
"T","100279","Longitudinalis",""
"T","100287","Axialis",""
"T","100298","Externus",""
"T","100303","Internus",""
"T","100316","Luminalis",""
"T","100327","Superficialis",""
"T","100334","Profundus",""
"T","100342","Proximalis",""
"T","100350","Distalis",""
"T","100369","Centralis",""
"T","100375","Periphericus",""
"T","100388","Radialis",""
"T","100391","Ulnaris",""
"T","100401","Fibularis","Peroneus"
"T","100417","Tibialis",""
"T","100425","Palmaris",""
"T","100430","Plantaris",""
"T","100449","Flexorius",""
"T","100458","Extensorius",""
"T","100463","Plana referentiae",""
"T","100474","Plana longitudinalia","Plana verticales"
"T","100482","Plana coronalia","Plana frontalia"
"T","100496","Plana sagittalia",""
"T","100505","Planum medianum",""
"T","100518","Planum paramedianum",""
"T","100526","Plana transversa","Plana horizontalia"
"T","100539","Planum transpyloricum",""
"T","100547","Planum subcostale",""
"T","100552","Planum transumbilicalis",""
"T","100560","Planum supracristale",""
"T","100571","Planum intertuberculare",""
"T","100583","Planum interspinale",""
"T","100594","Lineae referentiae",""
"T","100604","Linea mediana anterior",""
"T","100612","Linea sternalis",""
"T","100620","Linea parasternalis",""
"T","100636","Linea medioclavicularis",""
"T","100648","Linea mamillaris",""
"T","100657","Linea axillaris anterior",""
"T","100661","Linea axillaris media",""
"T","100673","Linea axillaris posterior",""
"T","100685","Linea scapularis",""
"T","100699","Linea paravertebralis",""
"T","100700","Linea mediana posterior",""
"T","100713","Positiones corporis humani",""
"T","100721","Positio anatomica","Positio anatomica humana"
"T","100737","Positio anatomica comparativa",""
"T","100745","Positio prona",""
"T","100759","Positio supina",""
"T","100768","Motus",""
"T","100776","Abductio",""
"T","100784","Adductio",""
"T","100792","Rotatio lateralis","Rotatio externa; Exorotatio"
"T","100807","Rotatio medialis","Rotatio interna; Endorotatio"
"T","100810","Circumductio",""
"T","100829","Flexio",""
"T","100832","Extensio",""
"T","100841","Pronatio",""
"T","100855","Supinatio",""
"T","100864","Oppositio",""
"T","100878","Repositio",""
"T","100886","Plantiflexio",""
"T","100893","Dorsiflexio",""
"T","100908","Elevatio",""
"T","100919","Depressio",""
"T","100924","Eversio",""
"T","100935","Inversio",""
"T","100943","Protractio",""
"T","100956","Retractio",""
"T","100962","Corpus humanum",""
"T","100970","Partes corporis humani",""
"T","100981","Caput",""
"T","100997","Pars neurocranialis capitis",""
"T","101000","Cavitas cranii",""
"T","101013","Frons",""
"T","101021","Occiput",""
"T","101037","Tempus","Tempulum"
"T","101045","Auricula",""
"T","101059","Lobulus auriculae",""
"T","101068","Helix",""
"T","101076","Crus helicis",""
"T","101084","Antihelix",""
"T","101092","Crura antihelicis",""
"T","101101","Antitragus",""
"T","101117","Tragus",""
"T","101125","Facies",""
"T","101130","Oculus",""
"T","101149","Palpebra superior",""
"T","101158","Palpebra inferior",""
"T","101163","Bucca",""
"T","101174","Nasus externus",""
"T","101182","Ala nasi",""
"T","101196","Stoma","Ostium orale"
"T","101207","Labium superius oris",""
"T","101210","Labium inferius oris",""
"T","101229","Mentum",""
"T","101232","Collum","Cervix"
"T","101241","Truncus",""
"T","101255","Thorax",""
"T","101264","Cavitas thoracis",""
"T","101278","Abdomen",""
"T","101286","Cavitas abdominis",""
"T","101293","Pelvis",""
"T","101308","Cavitas pelvis",""
"T","101319","Perineum",""
"T","101324","Pars anterior trunci","Pars ventralis trunci"
"T","101335","Paries anterolateralis thoracis",""
"T","101343","Paries anterolateralis abdominis",""
"T","101356","Dorsum","Pars posterior trunci"
"T","101362","Dorsum thoracis","Paries posterior thoracis"
"T","101370","Dorsum abdominis","Paries posterior abdominis"
"T","101381","Membrum superius",""
"T","101397","Omos",""
"T","101403","Axilla",""
"T","101416","Plica axillaris anterior",""
"T","101427","Plica axillaris posterior",""
"T","101434","Pars libera membri superioris","Membrum superius liberum"
"T","101442","Brachium",""
"T","101450","Cubitus",""
"T","101469","Antebrachium",""
"T","101475","Carpus",""
"T","101488","Manus",""
"T","101491","Metacarpus",""
"T","101502","Digiti manus",""
"T","101515","Pollex","Digitus primus manus; Digitus i manus"
"T","101528","Index","Digitus secundus manus; Digitus ii manus"
"T","101531","Digitus medius manus","Digitus tertius manus; Digitus iii manus"
"T","101544","Digitus anularis","Digitus quartus manus; Digitus iv manus"
"T","101553","Digitus minimus manus","Digitus quintus manus; Digitus v manus"
"T","101566","Membrum inferius",""
"T","101577","Natis","Clunis"
"T","101589","Coxa",""
"T","101590","Pars libera membri inferioris","Membrum inferius liberum"
"T","101609","Femur",""
"T","101614","Genu",""
"T","101623","Poples",""
"T","101638","Crus",""
"T","101646","Sura",""
"T","101651","Talus",""
"T","101667","Pes",""
"T","101672","Calx",""
"T","101680","Pars media pedis",""
"T","101695","Metatarsus",""
"T","101705","Digiti pedis",""
"T","101718","Hallux","Digitus primus pedis; Digitus i pedis"
"T","101726","Digitus secundus pedis","Digitus ii pedis"
"T","101739","Digitus tertius pedis","Digitus iii pedis"
"T","101747","Digitus quartus pedis","Digitus iv pedis"
"T","101752","Digitus minimus pedis","Digitus quintus pedis; Digitus v pedis"
"T","101760","Regiones corporis humani",""
"T","101771","Regiones capitis","Regio capitalis"
"T","101783","Regiones epicranii","Regio epicranialis"
"T","101794","Vertex","Vertex capitis"
"T","101806","Regio frontalis",""
"T","101811","Supercilium",""
"T","101822","Regio parietalis",""
"T","101833","Regio occipitalis",""
"T","101840","Regio temporalis",""
"T","101854","Regio mastoidea",""
"T","101865","Regio auricularis",""
"T","101879","Fossa triangularis",""
"T","101887","Scapha",""
"T","101898","Concha auriculae",""
"T","101904","Cymba conchae",""
"T","101912","Cavitas conchae",""
"T","101920","Incisura anterior auriculae",""
"T","101936","Incisura intertragica",""
"T","101948","Tuberculum auriculae",""
"T","101957","Apex auriculae",""
"T","101961","Sulcus posterior auriculae",""
"T","101973","Tuberculum supratragicum",""
"T","101985","Fossa antihelica",""
"T","101999","Eminentia conchae",""
"T","102004","Eminentia scaphae",""
"T","102012","Eminentia fossae triangularis",""
"T","102020","Regiones faciei","Regio facialis"
"T","102036","Regio orbitalis",""
"T","102048","Sulcus suprapalpebralis",""
"T","102057","Rima palpebrarum",""
"T","102061","Commissura lateralis palpebrarum",""
"T","102073","Commissura medialis palpebrarum",""
"T","102085","Angulus lateralis oculi",""
"T","102099","Angulus medialis oculi",""
"T","102103","Sulcus infrapalpebralis",""
"T","102116","Plica palpebronasalis",""
"T","102127","Regio infraorbitalis",""
"T","102134","Regio buccalis",""
"T","102142","Regio parotideomasseterica",""
"T","102150","Regio zygomatica",""
"T","102169","Regio nasalis",""
"T","102175","Radix nasi",""
"T","102188","Dorsum nasi",""
"T","102191","Apex nasi",""
"T","102209","Sulcus nasolabialis",""
"T","102214","Regio oralis",""
"T","102223","Philtrum",""
"T","102238","Tuberculum labii superioris",""
"T","102246","Commissura labiorum oris",""
"T","102251","Angulus oris",""
"T","102267","Sulcus mentolabialis",""
"T","102272","Regio mentalis",""
"T","102280","Regiones colli","Regio cervicalis"
"T","102295","Regio anterior colli","Regio cervicalis anterior"
"T","102307","Trigonum anterius  colli","Trigonum cervicale anterius"
"T","102310","Regio suprahyoidea",""
"T","102329","Trigonum submandibulare",""
"T","102332","Trigonum submentale",""
"T","102341","Regio infrahyoidea",""
"T","102355","Trigonum caroticum",""
"T","102364","Trigonum musculare","Trigonum omotracheale"
"T","102378","Regio sternocleidomastoidea",""
"T","102386","Fossa supraclavicularis minor",""
"T","102393","Regio lateralis colli","Regio cervicalis lateralis; Trigonum posterius colli; Trigonum cervicale posterius"
"T","102406","Fossa supraclavicularis major",""
"T","102411","Trigonum omoclaviculare",""
"T","102422","Trigonum occipitale","Trigonum omotrapezium"
"T","102433","Regio posterior colli","Regio cervicalis posterior"
"T","102440","Regiones thoracis","Regio thoracica"
"T","102454","Regio anterior thoracis","Regio thoracica anterior"
"T","102465","Precordium","Praecordium"
"T","102479","Regio presternalis","Regio praesternalis"
"T","102487","Fossa infraclavicularis",""
"T","102498","Trigonum deltopectorale","Trigonum clavipectorale"
"T","102501","Sulcus deltopectoralis",""
"T","102517","Regio pectoralis",""
"T","102525","Regio mammaria",""
"T","102530","Regio inframammaria",""
"T","102549","Regio lateralis thoracis","Regio thoracica lateralis"
"T","102558","Regiones abdominis","Regio abdominalis"
"T","102563","Regio hypochondriaca","Hypochondrium"
"T","102574","Regio epigastrica","Epigastrium"
"T","102582","Fossa epigastrica",""
"T","102596","Regio lateralis abdominis","Latus"
"T","102605","Regio umbilicalis",""
"T","102618","Umbilicus",""
"T","102626","Regio inguinalis","Inguen"
"T","102639","Regio hypogastrica","Hypogastrium; Regio pubica"
"T","102647","Regiones dorsi","Regio dorsalis"
"T","102652","Regio vertebralis",""
"T","102660","Regio scapularis",""
"T","102671","Trigonum auscultationis",""
"T","102683","Regio infrascapularis",""
"T","102694","Regio lumbalis",""
"T","102708","Trigonum lumbale","Trigonum lumbale inferius"
"T","102719","Trigonum lumbale superius",""
"T","102724","Regio sacralis",""
"T","102735","Foveola sacroiliaca",""
"T","102743","Regio coccygea",""
"T","102756","Foveola coccygea",""
"T","102762","Regiones perinei","Regio perinealis"
"T","102770","Regio analis",""
"T","102781","Trigonum anale",""
"T","102797","Regio urogenitalis","Trigonum urogenitale"
"T","102802","Regiones membri superioris",""
"T","102815","Regio axillaris",""
"T","102828","Fossa axillaris",""
"T","102831","Regio deltoidea",""
"T","102844","Regio brachialis","Regio brachii"
"T","102853","Regio anterior brachii","Regio brachialis anterior"
"T","102866","Sulcus biciptalis lateralis","Sulcus bicipitalis radialis"
"T","102877","Sulcus bicipitalis medialis","Sulcus bicipitalis ulnaris"
"T","102889","Regio posterior brachii","Regio brachialis posterior"
"T","102890","Regio cubitalis","Regio cubiti"
"T","102900","Regio anterior cubiti","Regio cubitalis anterior"
"T","102913","Fossa cubitalis",""
"T","102921","Regio posterior cubiti","Regio cubitalis posterior"
"T","102937","Regio antebrachialis","Regio antebrachii"
"T","102945","Regio anterior antebrachii","Regio antebrachialis anterior"
"T","102959","Regio posterior antebrachii","Regio antebrachialis posterior"
"T","102968","Margo lateralis antebrachii","Margo radialis antebrachii"
"T","102976","Margo medialis antebrachii","Margo ulnaris antebrachii"
"T","102984","Regio carpea","Regio carpi"
"T","102992","Regio anterior carpi","Regio carpea anterior"
"T","103006","Regio posterior carpi","Regio carpea posterior"
"T","103011","Foveola radialis",""
"T","103022","Regiones manus","Regio manualis"
"T","103033","Regio metacarpea","Regio metacarpi"
"T","103040","Dorsum manus","Regio dorsalis manus"
"T","103054","Palma","Regio palmaris"
"T","103065","Eminentia thenaris","Thenar"
"T","103079","Eminentia hypothenaris","Hypothenar"
"T","103087","Regiones digitorum manus",""
"T","103098","Facies palmares digitorum manus",""
"T","103104","Facies dorsales digitorum manus",""
"T","103112","Spatia interdigitalia manus","Spatia interdigitalia i-iv manus"
"T","103120","Regiones membri inferioris",""
"T","103136","Regio glutea","Regio glutealis"
"T","103148","Crena interglutea","Crena analis; Crena ani; Crena interglutealis"
"T","103157","Sulcus gluteus","Sulcus glutealis"
"T","103161","Regio coxalis","Regio coxae"
"T","103173","Regio femoralis","Regio femoris"
"T","103185","Regio anterior femoris","Regio femoralis anterior"
"T","103199","Trigonum femorale",""
"T","103200","Regio posterior femoris","Regio femoralis posterior"
"T","103213","Regio genualis","Regio genus"
"T","103221","Regio anterior genus","Regio genualis anterior"
"T","103237","Regio posterior genus","Regio genualis posterior"
"T","103245","Fossa poplitea",""
"T","103259","Regio cruralis","Regio cruris"
"T","103268","Regio anterior cruris","Regio cruralis anterior"
"T","103276","Regio posterior cruris","Regio cruralis posterior"
"T","103284","Regio suralis","Regio surae"
"T","103292","Regio talocruralis","Regio tali; Regio talaris"
"T","103305","Regio anterior tali","Regio talocruralis anterior"
"T","103318","Regio posterior tali","Regio talocruralis posterior"
"T","103326","Regio retromalleolaris lateralis","Regio retromalleolaris fibularis"
"T","103339","Regio retromalleolaris medialis","Regio retromalleolaris tibialis"
"T","103347","Regiones pedis","Regio pedalis"
"T","103352","Regio calcanea","Regio calcis"
"T","103360","Dorsum pedis","Regio dorsalis pedis; Regio superior pedis"
"T","103371","Planta","Regio plantaris; Regio inferior pedis"
"T","103383","Arcus longitudinalis pedis",""
"T","103394","Pars lateralis arcus longitudinalis pedis",""
"T","103409","Pars medialis arcus longitudinalis pedis",""
"T","103414","Arcus transversus proximalis pedis",""
"T","103423","Arcus transversus distalis pedis",""
"T","103438","Margo lateralis pedis","Margo fibularis pedis"
"T","103446","Margo medialis pedis","Margo tibialis pedis"
"T","103451","Regio metatarsea","Regio metatarsi"
"T","103467","Eminentia hallucis",""
"T","103472","Regiones digitorum pedis",""
"T","103480","Facies plantares digitorum pedis",""
"T","103495","Facies dorsales digitorum pedis",""
"T","103508","Spatia interdigitalia pedis","Spatia interdigitalia i-iv pedis"
"T","103519","Systemata musculoskeletalia",""
"T","103524","Systema skeletale","Skeleton"
"T","103535","Skeleton axiale",""
"T","103543","Neurocranium",""
"T","103556","Viscerocranium",""
"T","103562","Ossa faciei",""
"T","103570","Chondrocranium",""
"T","103581","Desmocranium",""
"T","103597","Skeleton appendiculare",""
"T","103607","Skeleton membrorum superiorum",""
"T","103610","Cingulum pectorale","Cingulum membrorum superiorum"
"T","103629","Skeleton partis liberae membri superioris","Skeleton membri superioris liberi"
"T","103632","Skeleton membrorum inferiorum",""
"T","103641","Cingulum pelvicum","Cingulum membrorum inferiorum"
"T","103655","Skeleton partis liberae membri inferioris","Skeleton membri inferioris liberi"
"T","103664","Ossa",""
"T","103678","Os membranaceum",""
"T","103686","Os endochondrale",""
"T","103693","Os longum",""
"T","103701","Os breve",""
"T","103717","Os planum",""
"T","103725","Os irregulare",""
"T","103730","Os pneumaticum",""
"T","103749","Os sesamoideum",""
"T","103758","Os accessorium",""
"T","103763","Os supernumerarium",""
"T","103774","Os",""
"T","103782","Pars ossea ossis",""
"T","103796","Substantia compacta","Textus osseus compactus"
"T","103803","Substantia spongiosa","Substantia trabecularis; Textus osseus spongiosus"
"T","103816","Pars cartilaginea ossis",""
"T","103827","Cartilago articularis",""
"T","103834","Pars membranacea ossis",""
"T","103842","Periosteum",""
"T","103850","Perichondrium",""
"T","103869","Cavitas medullaris ossis","Pars medullaris ossis"
"T","103875","Endosteum",""
"T","103888","Medulla ossis",""
"T","103891","Medulla flava ossis",""
"T","103902","Medulla rubra ossis",""
"T","103915","Diaphysis",""
"T","103928","Metaphysis",""
"T","103931","Epiphysis",""
"T","103944","Cartilago epiphysialis",""
"T","103953","Lamina epiphysialis",""
"T","103966","Linea epiphysialis",""
"T","103977","Apophysis",""
"T","103989","Facies articularis",""
"T","103990","Fossa articularis",""
"T","104008","Caput articulare",""
"T","104019","Foramen nutricium","Foramen nutriens"
"T","104024","Canalis nutricius","Canalis nutriens"
"T","104035","Centra ossificationum",""
"T","104043","Centrum primarium ossificationis","Centrum ossificationis primariae"
"T","104056","Centrum secundarium ossificationis","Centrum ossificationis secundariae"
"T","104062","Cranium",""
"T","104070","Norma frontalis cranii","Norma facialis cranii"
"T","104081","Norma superior cranii","Norma verticalis cranii"
"T","104097","Norma occipitalis cranii",""
"T","104100","Norma lateralis cranii",""
"T","104113","Norma inferior cranii","Norma basalis cranii"
"T","104121","Pericranium","Periosteum externum cranii"
"T","104137","Cavitas cranii",""
"T","104145","Frons cranii",""
"T","104159","Occiput cranii",""
"T","104168","Vertex cranii",""
"T","104176","Nasion",""
"T","104184","Bregma",""
"T","104192","Locus lambda","Lambda"
"T","104202","Inion",""
"T","104215","Pterion",""
"T","104228","Asterion",""
"T","104231","Porion",""
"T","104244","Basion",""
"T","104253","Opisthion",""
"T","104266","Fossa temporalis",""
"T","104277","Arcus zygomaticus",""
"T","104289","Fossa infratemporalis",""
"T","104290","Fossa pterygopalatina",""
"T","104304","Fissura pterygomaxillaris",""
"T","104312","Fonticuli cranii",""
"T","104320","Fonticulus anterior",""
"T","104336","Fonticulus posterior",""
"T","104348","Fonticulus sphenoideus","Fonticulus anterolateralis; Fonticulus sphenoidalis"
"T","104357","Fonticulus mastoideus","Fonticulus posterolateralis"
"T","104361","Calvaria",""
"T","104373","Lamina externa calvariae",""
"T","104385","Diploe",""
"T","104399","Canales diploici",""
"T","104407","Lamina interna calvariae",""
"T","104410","Sulcus sinus sagittalis superioris",""
"T","104429","Foveolae granulares",""
"T","104432","Impressiones gyrorum","Impressiones digitatae"
"T","104441","Juga cerebralia",""
"T","104455","Sulci venosi",""
"T","104464","Sulci arteriosi",""
"T","104478","Basis cranii",""
"T","104486","Basis interna cranii","Basis cranii interna"
"T","104493","Fissura sphenopetrosa",""
"T","104503","Fissura petrooccipitalis",""
"T","104516","Fossa anterior cranii",""
"T","104527","Fossa media cranii",""
"T","104534","Fossa posterior cranii",""
"T","104542","Clivus",""
"T","104550","Sulcus sinus petrosi inferioris",""
"T","104569","Sulcus sinus sigmoidei",""
"T","104575","Basis externa cranii","Basis cranii externa"
"T","104588","Foramen jugulare",""
"T","104591","Foramen lacerum",""
"T","104606","Foramen sphenotemporale",""
"T","104611","Palatum osseum",""
"T","104622","Canalis palatinus major",""
"T","104633","Foramen palatinum majus",""
"T","104640","Fossa incisiva",""
"T","104654","Torus palatinus",""
"T","104665","Canalis palatovaginalis",""
"T","104679","Canalis vomerovaginalis",""
"T","104687","Canalis vomerorostralis",""
"T","104698","Orbita",""
"T","104709","Periorbita",""
"T","104714","Septum orbitale",""
"T","104723","Cavitas orbitae",""
"T","104738","Aditus orbitae",""
"T","104746","Margo orbitalis","Margo orbitae"
"T","104751","Margo supraorbitalis","Margo superior orbitae"
"T","104767","Margo infraorbitalis","Margo inferior orbitae"
"T","104772","Margo lateralis orbitae","Margo orbitalis lateralis"
"T","104780","Margo medialis orbitae","Margo orbitalis medialis"
"T","104795","Paries superior orbitae",""
"T","104805","Paries inferior orbitae",""
"T","104818","Paries lateralis orbitae",""
"T","104826","Foramen cranioorbitale",""
"T","104839","Paries medialis orbitae",""
"T","104847","Foramen ethmoideum anterius","Foramen ethmoidale anterius"
"T","104852","Foramen ethmoideum posterius","Foramen ethmoidale posterius"
"T","104860","Fossa sacci lacrimalis",""
"T","104871","Apex orbitae",""
"T","104883","Fissura orbitalis superior",""
"T","104894","Fissura orbitalis inferior",""
"T","104901","Canalis nasolacrimalis",""
"T","104917","Pars ossea septi nasi","Septum osseum nasi; Septum nasale osseum"
"T","104925","Cavitas nasalis cranii","Cavitas nasalis ossea"
"T","104930","Apertura piriformis",""
"T","104949","Meatus nasalis superior cranii",""
"T","104958","Meatus nasalis medius cranii",""
"T","104963","Meatus nasalis inferior cranii",""
"T","104974","Ostium canalis nasolacrimalis",""
"T","104982","Meatus nasalis communis cranii",""
"T","104996","Recessus sphenoethmoideus cranii","Recessus sphenoethmoidalis cranii"
"T","105001","Meatus nasopharyngeus cranii",""
"T","105017","Choana cranii","Apertura nasalis posterior cranii"
"T","105025","Foramen sphenopalatinum",""
"T","105030","Ossa cranii",""
"T","105049","Os parietale",""
"T","105058","Facies interna ossis parietalis",""
"T","105063","Sulcus arteriae meningeae mediae",""
"T","105074","Facies externa ossis parietalis",""
"T","105082","Linea temporalis superior",""
"T","105096","Linea temporalis inferior",""
"T","105105","Eminentia parietalis","Tuber parietale"
"T","105118","Margo occipitalis ossis parietalis",""
"T","105126","Margo squamosus ossis parietalis",""
"T","105139","Margo sagittalis ossis parietalis",""
"T","105147","Margo frontalis ossis parietalis",""
"T","105152","Angulus frontalis ossis parietalis",""
"T","105160","Angulus occipitalis ossis parietalis",""
"T","105171","Angulus sphenoideus ossis parietalis","Angulus sphenoidalis"
"T","105183","Angulus mastoideus ossis parietalis",""
"T","105194","Foramen parietale",""
"T","105208","Os frontale",""
"T","105219","Squama frontalis",""
"T","105224","Facies externa squamae frontalis",""
"T","105235","Eminentia frontalis","Tuber frontale"
"T","105243","Arcus superciliaris",""
"T","105256","Glabella",""
"T","105262","Pars frontalis marginis orbitalis",""
"T","105270","Foramen supraorbitale",""
"T","105281","Incisura supraorbitalis",""
"T","105297","Incisura frontalis",""
"T","105306","Foramen frontale",""
"T","105311","Facies temporalis ossis frontalis",""
"T","105322","Margo parietalis ossis frontalis",""
"T","105333","Linea temporalis",""
"T","105340","Processus zygomaticus ossis frontalis",""
"T","105354","Facies interna squamae frontalis",""
"T","105365","Crista frontalis",""
"T","105379","Foramen caecum ossis frontalis",""
"T","105387","Pars nasalis ossis frontalis",""
"T","105398","Spina nasalis ossis frontalis",""
"T","105404","Margo nasalis ossis frontalis",""
"T","105412","Pars orbitalis ossis frontalis",""
"T","105420","Lamina orbitalis ossis frontalis",""
"T","105436","Facies orbitalis ossis frontalis",""
"T","105448","Spina trochlearis",""
"T","105457","Fovea trochlearis",""
"T","105461","Fossa glandulae lacrimalis",""
"T","105473","Margo sphenoideus ossis frontalis","Margo sphenoidalis ossis frontalis"
"T","105485","Incisura ethmoidea","Incisura ethmoidalis"
"T","105499","Sinus ossis frontalis","Sinus frontalis osseus"
"T","105500","Apertura sinus frontalis",""
"T","105513","Septum sinuum frontalium",""
"T","105521","Os occipitale",""
"T","105537","Foramen magnum",""
"T","105545","Pars basilaris ossis occipitalis",""
"T","105559","Tuberculum pharyngeum",""
"T","105568","Pars lateralis ossis occipitalis",""
