#"AnaTermId","ParentId","LatinTerm","EnglishTerm","TA1","TA2","Sex","Type"
"100014","0","Termini generales","General terms","","1","B","G"
"100023","100014","Verticalis","Vertical","","2","B",""
"100038","100014","Horizontalis","Horizontal","","3","B",""
"100046","100014","Medianus","Median","","4","B",""
"100051","100014","Coronalis","Coronal","","5","B",""
"100067","100014","Sagittalis","Sagittal","","6","B",""
"100072","100014","Dexter","Right","","7","B",""
"100080","100014","Sinister","Left","","8","B",""
"100095","100014","Intermedius","Intermediate","","9","B",""
"100102","100014","Medialis","Medial","","10","B",""
"100115","100014","Lateralis","Lateral","","11","B",""
"100128","100014","Anterior","Anterior","","12","B",""
"100131","100014","Posterior","Posterior","","13","B",""
"100144","100014","Ventralis","Ventral","","14","B",""
"100153","100014","Dorsalis","Dorsal","","15","B",""
"100166","100014","Frontalis","Frontal","","16","B",""
"100177","100014","Occipitalis","Occipital","","17","B",""
"100189","100014","Superior","Superior","","18","B",""
"100190","100014","Inferior","Inferior","","19","B",""
"100206","100014","Cranialis","Cranial","","20","B",""
"100211","100014","Caudalis","Caudal","","21","B",""
"100222","100014","Rostralis","Rostral","","22","B",""
"100233","100014","Apicalis","Apical","","23","B",""
"100240","100014","Basalis","Basal","","24","B",""
"100254","100014","Medius","Middle","","25","B",""
"100265","100014","Transversus","Transverse","","26","B",""
"100279","100014","Longitudinalis","Longitudinal","","27","B",""
"100287","100014","Axialis","Axial","","28","B",""
"100298","100014","Externus","External","","29","B",""
"100303","100014","Internus","Internal","","30","B",""
"100316","100014","Luminalis","Luminal","","31","B",""
"100327","100014","Superficialis","Superficial","","32","B",""
"100334","100014","Profundus","Deep","","33","B",""
"100342","100014","Proximalis","Proximal","","34","B",""
"100350","100014","Distalis","Distal","","35","B",""
"100369","100014","Centralis","Central","","36","B",""
"100375","100014","Periphericus","Peripheral","","37","B",""
"100388","100014","Radialis","Radial","","38","B",""
"100391","100014","Ulnaris","Ulnar","","39","B",""
"100401","100014","Fibularis","Fibular","","40","B",""
"100417","100014","Tibialis","Tibial","","41","B",""
"100425","100014","Palmaris","Palmar","","42","B",""
"100430","100014","Plantaris","Plantar","","43","B",""
"100449","100014","Flexorius","Flexor","","44","B",""
"100458","100014","Extensorius","Extensor","","45","B",""
"100463","0","Plana referentiae","Reference planes","","46","B","G"
"100474","100463","Plana longitudinalia","Longitudinal planes","","47","B",""
"100482","100474","Plana coronalia","Coronal planes","","48","B",""
"100496","100474","Plana sagittalia","Sagittal planes","","49","B",""
"100505","100496","Planum medianum","Median plane","","50","B",""
"100518","100496","Planum paramedianum","Paramedian plane","","51","B",""
"100526","100463","Plana transversa","Transverse planes","","52","B",""
"100539","100526","Planum transpyloricum","Transpyloric plane","","53","B",""
"100547","100526","Planum subcostale","Subcostal plane","","54","B",""
"100552","100526","Planum transumbilicalis","Transumbilical plane","","55","B",""
"100560","100526","Planum supracristale","Supracristal plane","","56","B",""
"100571","100526","Planum intertuberculare","Intertubercular plane","","57","B",""
"100583","100526","Planum interspinale","Interspinous plane","","58","B",""
"100594","0","Lineae referentiae","Reference lines","","59","B","G"
"100604","100594","Linea mediana anterior","Anterior median line","","60","B",""
"100612","100594","Linea sternalis","Sternal line","","61","B",""
"100620","100594","Linea parasternalis","Parasternal line","","62","B",""
"100636","100594","Linea medioclavicularis","Midclavicular line","","63","B",""
"100648","100594","Linea mamillaris","Mammillary line","","64","B",""
"100657","100594","Linea axillaris anterior","Anterior axillary line","","65","B",""
"100661","100594","Linea axillaris media","Midaxillary line","","66","B",""
"100673","100594","Linea axillaris posterior","Posterior axillary line","","67","B",""
"100685","100594","Linea scapularis","Scapular line","","68","B",""
"100699","100594","Linea paravertebralis","Paravertebral line","","69","B",""
"100700","100594","Linea mediana posterior","Posterior median line","","70","B",""
"100713","0","Positiones corporis humani","Human body positions","","71","B","G"
"100721","100713","Positio anatomica","Anatomical position","","72","B",""
"100737","100713","Positio anatomica comparativa","Comparative anatomical position","","73","B",""
"100745","100713","Positio prona","Prone position","","74","B",""
"100759","100713","Positio supina","Supine position","","75","B",""
"100768","0","Motus","Movements","","76","B","G"
"100776","100768","Abductio","Abduction","","77","B",""
"100784","100768","Adductio","Adduction","","78","B",""
"100792","100768","Rotatio lateralis","Lateral rotation","","79","B",""
"100807","100768","Rotatio medialis","Medial rotation","","80","B",""
"100810","100768","Circumductio","Circumduction","","81","B",""
"100829","100768","Flexio","Flexion","","82","B",""
"100832","100768","Extensio","Extension","","83","B",""
"100841","100768","Pronatio","Pronation","","84","B",""
"100855","100768","Supinatio","Supination","","85","B",""
"100864","100768","Oppositio","Opposition","","86","B",""
"100878","100768","Repositio","Reposition","","87","B",""
"100886","100768","Plantiflexio","Plantar flexion","","88","B",""
"100893","100768","Dorsiflexio","Dorsiflexion","","89","B",""
"100908","100768","Elevatio","Elevation","","90","B",""
"100919","100768","Depressio","Depression","","91","B",""
"100924","100768","Eversio","Eversion","","92","B",""
"100935","100768","Inversio","Inversion","","93","B",""
"100943","100768","Protractio","Protraction","","94","B",""
"100956","100768","Retractio","Retraction","","95","B",""
"100962","0","Corpus humanum","Human body","","96","B","G"
"100970","100962","Partes corporis humani","Parts of human body","A01.1.00.000","97","B","G"
"100981","100970","Caput","Head","A01.1.00.001","98","B","G"
"100997","100981","Pars neurocranialis capitis","Neurocranial part of head","","99","B",""
"101000","100997","Cavitas cranii","Cranial cavity","A01.1.00.048","100","B",""
"101013","100997","Frons","Forehead","A01.1.00.002","101","B",""
"101021","100997","Occiput","Occiput","A01.1.00.003","102","B",""
"101037","100997","Tempus","Temple","A01.1.00.004","103","B",""
"101045","100997","Auricula","Auricle","A15.3.01.002","104","B",""
"101059","101045","Lobulus auriculae","Lobule of auricle","A15.3.01.003","105","B",""
"101068","101045","Helix","Helix","A15.3.01.005","106","B",""
"101076","101068","Crus helicis","Crus of helix","A15.3.01.006","107","B",""
"101084","101045","Antihelix","Antihelix","A15.3.01.009","108","B",""
"101092","101084","Crura antihelicis","Crura of antihelix","A15.3.01.011","109","B",""
"101101","101045","Antitragus","Antitragus","A15.3.01.016","110","B",""
"101117","101045","Tragus","Tragus","A15.3.01.017","111","B",""
"101125","100981","Facies","Face","A01.1.00.006","112","B",""
"101130","101125","Oculus","Eye","A01.1.00.007","113","B",""
"101149","101130","Palpebra superior","Upper eyelid","A15.2.07.025","114","B",""
"101158","101130","Palpebra inferior","Lower eyelid","A15.2.07.026","115","B",""
"101163","101125","Bucca","Cheek","A01.1.00.008","116","B",""
"101174","101125","Nasus externus","External nose","","117","B",""
"101182","101174","Ala nasi","Ala of nose","A06.1.01.005","118","B",""
"101196","101125","Stoma","Mouth","A01.1.00.010","119","B",""
"101207","101196","Labium superius oris","Upper lip","A05.1.01.006","120","B",""
"101210","101196","Labium inferius oris","Lower lip","A05.1.01.009","121","B",""
"101229","101125","Mentum","Chin","A01.1.00.011","122","B",""
"101232","100970","Collum","Neck","A01.1.00.012","123","B","G"
"101241","100970","Truncus","Trunk","A01.1.00.013","124","B","G"
"101255","101241","Thorax","Thorax","A01.1.00.014","125","B",""
"101264","101255","Cavitas thoracis","Thoracic cavity","A02.3.04.002","126","B",""
"101278","101241","Abdomen","Abdomen","A01.1.00.016","127","B",""
"101286","101278","Cavitas abdominis","Abdominal cavity","A10.1.00.001","128","B",""
"101293","101241","Pelvis","Pelvis","A01.1.00.017","129","B",""
"101308","101293","Cavitas pelvis","Pelvic cavity","A10.1.00.002","130","B",""
"101319","101293","Perineum","Perineum","A09.5.00.001","131","B",""
"101324","101241","Pars anterior trunci","Anterior trunk","","132","B",""
"101335","101324","Paries anterolateralis thoracis","Anterolateral thoracic wall","","133","B",""
"101343","101324","Paries anterolateralis abdominis","Anterolateral abdominal wall","","134","B",""
"101356","101241","Dorsum","Back","A01.1.00.018","135","B",""
"101362","101356","Dorsum thoracis","Back of thorax","","136","B",""
"101370","101356","Dorsum abdominis","Back of abdomen","","137","B",""
"101381","100970","Membrum superius","Upper limb","A01.1.00.019","138","B","G"
"101397","101381","Omos","Shoulder","","139","B",""
"101403","101381","Axilla","Axilla","A01.1.00.021","140","B",""
"101416","101403","Plica axillaris anterior","Anterior axillary fold","","141","B",""
"101427","101403","Plica axillaris posterior","Posterior axillary fold","","142","B",""
"101434","101381","Pars libera membri superioris","Free part of upper limb","","143","B",""
"101442","101434","Brachium","Arm","A01.1.00.022","144","B",""
"101450","101434","Cubitus","Elbow","A01.1.00.023","145","B",""
"101469","101434","Antebrachium","Forearm","A01.1.00.024","146","B",""
"101475","101434","Carpus","Wrist","A01.1.00.026","147","B",""
"101488","101434","Manus","Hand","A01.1.00.025","148","B",""
"101491","101488","Metacarpus","Metacarpus","A01.1.00.027","149","B",""
