#"AnaTermId","ParentId","LatinTerm","EnglishTerm","TA1","TA2","Sex","Type","en","en_Syns","en_GB","en_GB_Syns","la","la_Syns","de","de_Syns","fr","fr_Syns","it","it_Syns","nl","nl_Syns","pl","pl_Syns","pt","pt_Syns","zh","zh_Syns","es","es_Syns"
"100014","0","Termini generales","General terms","","1","B","G","General terms","","General terms","","Termini generales","","","","","","","","","","","","","","","","",""
"100023","100014","Verticalis","Vertical","","2","B","","Vertical","","Vertical","","Verticalis","","","","","","","","","","","","","","","","",""
"100038","100014","Horizontalis","Horizontal","","3","B","","Horizontal","","Horizontal","","Horizontalis","","","","","","","","","","","","","","","","",""
"100046","100014","Medianus","Median","","4","B","","Median","","Median","","Medianus","","","","","","","","","","","","","","","","",""
"100051","100014","Coronalis","Coronal","","5","B","","Coronal","","Coronal","","Coronalis","","","","","","","","","","","","","","","","",""
"100067","100014","Sagittalis","Sagittal","","6","B","","Sagittal","","Sagittal","","Sagittalis","","","","","","","","","","","","","","","","",""
"100072","100014","Dexter","Right","","7","B","","Right","","Right","","Dexter","","","","","","","","","","","","","","","","",""
"100080","100014","Sinister","Left","","8","B","","Left","","Left","","Sinister","","","","","","","","","","","","","","","","",""
"100095","100014","Intermedius","Intermediate","","9","B","","Intermediate","","Intermediate","","Intermedius","","","","","","","","","","","","","","","","",""
"100102","100014","Medialis","Medial","","10","B","","Medial","","Medial","","Medialis","","","","","","","","","","","","","","","","",""
"100115","100014","Lateralis","Lateral","","11","B","","Lateral","","Lateral","","Lateralis","","","","","","","","","","","","","","","","",""
"100128","100014","Anterior","Anterior","","12","B","","Anterior","","Anterior","","Anterior","","","","","","","","","","","","","","","","",""
"100131","100014","Posterior","Posterior","","13","B","","Posterior","","Posterior","","Posterior","","","","","","","","","","","","","","","","",""
"100144","100014","Ventralis","Ventral","","14","B","","Ventral","","Ventral","","Ventralis","","","","","","","","","","","","","","","","",""
"100153","100014","Dorsalis","Dorsal","","15","B","","Dorsal","","Dorsal","","Dorsalis","","","","","","","","","","","","","","","","",""
"100166","100014","Frontalis","Frontal","","16","B","","Frontal","","Frontal","","Frontalis","","","","","","","","","","","","","","","","",""
"100177","100014","Occipitalis","Occipital","","17","B","","Occipital","","Occipital","","Occipitalis","","","","","","","","","","","","","","","","",""
"100189","100014","Superior","Superior","","18","B","","Superior","","Superior","","Superior","","","","","","","","","","","","","","","","",""
"100190","100014","Inferior","Inferior","","19","B","","Inferior","","Inferior","","Inferior","","","","","","","","","","","","","","","","",""
"100206","100014","Cranialis","Cranial","","20","B","","Cranial","","Cranial","","Cranialis","","","","","","","","","","","","","","","","",""
"100211","100014","Caudalis","Caudal","","21","B","","Caudal","","Caudal","","Caudalis","","","","","","","","","","","","","","","","",""
"100222","100014","Rostralis","Rostral","","22","B","","Rostral","","Rostral","","Rostralis","","","","","","","","","","","","","","","","",""
"100233","100014","Apicalis","Apical","","23","B","","Apical","","Apical","","Apicalis","","","","","","","","","","","","","","","","",""
"100240","100014","Basalis","Basal","","24","B","","Basal","","Basal","","Basalis","","","","","","","","","","","","","","","","",""
"100254","100014","Medius","Middle","","25","B","","Middle","","Middle","","Medius","","","","","","","","","","","","","","","","",""
"100265","100014","Transversus","Transverse","","26","B","","Transverse","","Transverse","","Transversus","","","","","","","","","","","","","","","","",""
"100279","100014","Longitudinalis","Longitudinal","","27","B","","Longitudinal","","Longitudinal","","Longitudinalis","","","","","","","","","","","","","","","","",""
"100287","100014","Axialis","Axial","","28","B","","Axial","","Axial","","Axialis","","","","","","","","","","","","","","","","",""
"100298","100014","Externus","External","","29","B","","External","","External","","Externus","","","","","","","","","","","","","","","","",""
"100303","100014","Internus","Internal","","30","B","","Internal","","Internal","","Internus","","","","","","","","","","","","","","","","",""
"100316","100014","Luminalis","Luminal","","31","B","","Luminal","","Luminal","","Luminalis","","","","","","","","","","","","","","","","",""
"100327","100014","Superficialis","Superficial","","32","B","","Superficial","","Superficial","","Superficialis","","","","","","","","","","","","","","","","",""
"100334","100014","Profundus","Deep","","33","B","","Deep","","Deep","","Profundus","","","","","","","","","","","","","","","","",""
"100342","100014","Proximalis","Proximal","","34","B","","Proximal","","Proximal","","Proximalis","","","","","","","","","","","","","","","","",""
"100350","100014","Distalis","Distal","","35","B","","Distal","","Distal","","Distalis","","","","","","","","","","","","","","","","",""
"100369","100014","Centralis","Central","","36","B","","Central","","Central","","Centralis","","","","","","","","","","","","","","","","",""
"100375","100014","Periphericus","Peripheral","","37","B","","Peripheral","","Peripheral","","Periphericus","","","","","","","","","","","","","","","","",""
"100388","100014","Radialis","Radial","","38","B","","Radial","","Radial","","Radialis","","","","","","","","","","","","","","","","",""
"100391","100014","Ulnaris","Ulnar","","39","B","","Ulnar","","Ulnar","","Ulnaris","","","","","","","","","","","","","","","","",""
"100401","100014","Fibularis","Fibular","","40","B","","Fibular","Peroneal","Fibular","Peroneal","Fibularis","Peroneus","","","","","","","","","","","","","","","",""
"100417","100014","Tibialis","Tibial","","41","B","","Tibial","","Tibial","","Tibialis","","","","","","","","","","","","","","","","",""
"100425","100014","Palmaris","Palmar","","42","B","","Palmar","","Palmar","","Palmaris","","","","","","","","","","","","","","","","",""
"100430","100014","Plantaris","Plantar","","43","B","","Plantar","","Plantar","","Plantaris","","","","","","","","","","","","","","","","",""
"100449","100014","Flexorius","Flexor","","44","B","","Flexor","","Flexor","","Flexorius","","","","","","","","","","","","","","","","",""
"100458","100014","Extensorius","Extensor","","45","B","","Extensor","","Extensor","","Extensorius","","","","","","","","","","","","","","","","",""
"100463","0","Plana referentiae","Reference planes","","46","B","G","Reference planes","","Reference planes","","Plana referentiae","","","","","","","","","","","","","","","","",""
"100474","100463","Plana longitudinalia","Longitudinal planes","","47","B","","Longitudinal planes","Vertical planes","Longitudinal planes","Vertical planes","Plana longitudinalia","Plana verticales","","","","","","","","","","","","","","","",""
"100482","100474","Plana coronalia","Coronal planes","","48","B","","Coronal planes","Frontal planes","Coronal planes","Frontal planes","Plana coronalia","Plana frontalia","","","","","","","","","","","","","","","",""
"100496","100474","Plana sagittalia","Sagittal planes","","49","B","","Sagittal planes","","Sagittal planes","","Plana sagittalia","","","","","","","","","","","","","","","","",""
"100505","100496","Planum medianum","Median plane","","50","B","","Median plane","Median sagittal plane","Median plane","Median sagittal plane","Planum medianum","","","","","","","","","","","","","","","","",""
